# IrisCard/SetPositionList

RIGHT:&edit(,noicon){SetPositionListを編集};

**セット位置索引 [#setposition]
//本ページでは、武器、服、胸のイリスカードを記述

***武器 [#weapon]
|~No.|~名称|~レア度|~属性|~ベクトル|~備考|
|AC02-3060|[[バウ>IrisCard/ExIrisCard0#AC02-3060]]|''C''|-|[[ウェポンビルダー>Iris/Explanation#tb_weapon]]||
|AC02-3070|[[ルナティック>IrisCard/ExIrisCard0#AC02-3070]]|''C''|BGCOLOR(#CC99FF):闇|[[マジックバースト>Iris/Explanation#tb_magic]]||
|AC03-0030|[[ステラ・ブラヴァツキ>IrisCard/ExIrisCard0#AC03-0030]]|&COLOR(#ffa500){''R''};|-|[[黒の大魔導師>Iris/Explanation#tb_blackArchmage]]||
|AC03-0050|[[ロビン・グッドフェロウ>IrisCard/ExIrisCard0#AC03-0050]]|&COLOR(#ffa500){''R''};|-|[[エルヴン・ストライカー>Iris/Explanation#tb_elvenStriker]]||
|AC03-1040|[[鈴鹿御前>IrisCard/ExIrisCard0#AC03-1040]]|&COLOR(#0000ff){''UC''};|-|[[涼風鬼姫>Iris/Explanation#tb_suzukazeNoOnihime]]||
|AC03-1060|[[メタトロン>IrisCard/ExIrisCard0#AC03-1060]]|&COLOR(#0000ff){''UC''};|-|[[総参謀長>Iris/Explanation#tb_chiefOfStaff]]||
|AC03-2010|[[藤宮 真由美>IrisCard/ExIrisCard0#AC03-2010]]|''C''|-|[[サイキック・プライマル>Iris/Explanation#tb_psychicPrimal]]||
|AC03-2020|[[朱 麗花>IrisCard/ExIrisCard0#AC03-2020]]|''C''|-|[[太極拳法家>Iris/Explanation#tb_taikyokukenpouka]]||
|AC03-2050|[[レイナ・アークトゥルス>IrisCard/ExIrisCard0#AC03-2050]]|''C''|-|[[魔剣姫>Iris/Explanation#tb_makenki]]||
|AC04-1010|[[サヤ>IrisCard/ExIrisCard0#AC04-1010]]|&COLOR(#ffa500){''R''};|-|[[ショートレンジバースト>Iris/Explanation#tb_Srange]]||
|AC04-1020|[[ツクヨミ>IrisCard/ExIrisCard0#AC04-1020]]|&COLOR(#ffa500){''R''};|-|[[マジックバースト>Iris/Explanation#tb_magic]]||
|AC04-1030|[[狐の少女>IrisCard/ExIrisCard0#AC04-1030]]|&COLOR(#ffa500){''R''};|-|[[ロングレンジバースト>Iris/Explanation#tb_Lrange]]||
|AC04-2010|[[マリオネット・ニンフ>IrisCard/ExIrisCard0#AC04-2010]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFFF99):風|[[ウェポンビルダー>Iris/Explanation#tb_weapon]]|服も可|
|~|~|~|~|[[アーマービルダー>Iris/Explanation#tb_armor]]|~|
|AC04-2020|[[マリオネット・アイシー>IrisCard/ExIrisCard0#AC04-2020]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99CCFF):水|[[ウェポンビルダー>Iris/Explanation#tb_weapon]]|服も可|
|~|~|~|~|[[アーマービルダー>Iris/Explanation#tb_armor]]|~|
|AC04-2030|[[マリオネット・ホムラ>IrisCard/ExIrisCard0#AC04-2030]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#FFCCCC):火|[[ウェポンビルダー>Iris/Explanation#tb_weapon]]|服も可|
|~|~|~|~|[[アーマービルダー>Iris/Explanation#tb_armor]]|~|
|AC04-2040|[[マリオネット・ピーノ>IrisCard/ExIrisCard0#AC04-2040]]|&COLOR(#0000ff){''UC''};|BGCOLOR(#99FFCC):土|[[ウェポンビルダー>Iris/Explanation#tb_weapon]]|服も可|
|~|~|~|~|[[アーマービルダー>Iris/Explanation#tb_armor]]|~|
|AC04-3020|[[エレキテルラボ>IrisCard/ExIrisCard0#AC04-3020]]|''C''|-|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]||
|AC04-3030|[[ジャック>IrisCard/ExIrisCard0#AC04-3030]]|''C''|BGCOLOR(#FFCCCC):火|-||
|~|~|~|BGCOLOR(#99CCFF):水|~|~|
|~|~|~|BGCOLOR(#FFFF99):風|~|~|
|~|~|~|BGCOLOR(#99FFCC):土|~|~|
|AC04-3050|[[ウェストフォート侵攻部隊>IrisCard/ExIrisCard0#AC04-3050]]|''C''|-|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]||
|AC04-3060|[[ラブ・スキンク>IrisCard/ExIrisCard0#AC04-3060]]|''C''|BGCOLOR(#99FFCC):土|[[深愛の絆>Iris/Explanation#tb_shinai]]||
|AC04-4020|[[デルタサーガ>IrisCard/NormalIrisCard#AC04-4020]]|&COLOR(#FF0099){''SR''};|-|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]||
|AC04-7040|[[6月（ジューンブライト）>IrisCard/NormalIrisCard#AC04-7040]]|''C''|-|[[基礎知力強化>Iris/Explanation#tb_mpup]]||
|AC04-7050|[[7月（海開き）>IrisCard/NormalIrisCard#AC04-7050]]|''C''|-|[[基礎体力強化>Iris/Explanation#tb_hpup]]||
|AC04-7060|[[8月（花火大会）>IrisCard/NormalIrisCard#AC04-7060]]|''C''|-|[[基礎技術力強化>Iris/Explanation#tb_spup]]||
|AC05-0010|[[ヴェルデガルド>IrisCard/ExIrisCard0#AC05-0010]]|&COLOR(#FF0099){''SR''};|-|[[マジックバースト>Iris/Explanation#tb_magic]]|限定　職業SU系|
|~|~|~|~|[[基礎知力強化>Iris/Explanation#tb_mpup]]|~|
|AC05-0020|[[ヴァレリア>IrisCard/ExIrisCard0#AC05-0020]]|&COLOR(#FF0099){''SR''};|-|[[深愛の絆>Iris/Explanation#tb_shinai]]||
|~|~|~|~|[[基礎技術力強化>Iris/Explanation#tb_spup]]|~|
|AC05-2020|[[リタのハレルヤ>IrisCard/ExIrisCard0#AC05-2020]]|&COLOR(#0000ff){''UC''};|-|[[耐久の心得>Iris/Explanation#tb_taikyuu]]||
|AC05-3020|[[イチゴ>IrisCard/ExIrisCard0#AC05-3020]]|''C''|-|[[大豊作>Iris/Explanation#tb_bhousaku]]|限定　職業BP系|
|AC05-3040|[[動けないマーチャント>IrisCard/ExIrisCard0#AC05-3040]]|''C''|-|[[パッケージの心得>Iris/Explanation#tb_packag]]|限定　職業BP系|
|AC05-3050|[[美食キングのフルコース>IrisCard/ExIrisCard0#AC05-3050]]|''C''|-|[[パッケージの心得>Iris/Explanation#tb_packag]]|服も可|
|AC05-3060|[[シマの海賊達>IrisCard/ExIrisCard0#AC05-3060]]|''C''|BGCOLOR(#FFCCCC):火|-|服も可|
|~|~|~|BGCOLOR(#99CCFF):水|~|~|
|AC05-3070|[[スタートラー>IrisCard/ExIrisCard0#AC05-3070]]|''C''|BGCOLOR(#CC99FF):闇|[[耐久の心得>Iris/Explanation#tb_taikyuu]]|服も可|
|~|~|~|~|[[流水の心得>Iris/Explanation#tb_ryuusui]]|~|
|~|~|~|~|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]|~|
|AC05-3080|[[マオアー>IrisCard/ExIrisCard0#AC05-3080]]|''C''|-|[[アーマービルダー>Iris/Explanation#tb_armor]]||
|AC06-0010|[[星空のソーサラー>IrisCard/NormalIrisCard#AC06-0010]]|&COLOR(#FF0099){''SR''};|-|[[みんつく>Iris/Explanation#tb_mintsuku]]||
|~|~|~|~|[[マジックプラス>Iris/Explanation#tb_masicPlus]]|~|
|AC06-1010|[[ヘブンリーガーデン>IrisCard/NormalIrisCard#AC06-1010]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|服/胸も可|
|~|~|~|~|[[豊作>Iris/Explanation#tb_housaku]]|~|
|AC06-1020|[[白竜帝のブレイドマスター>IrisCard/NormalIrisCard#AC06-1020]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]||
|~|~|~|~|[[ウェポンプラス>Iris/Explanation#tb_weaponPlus]]|~|
|~|~|~|~|[[斬鉄の心得>Iris/Explanation#tb_zantetu]]|~|
|AC06-1030|[[木漏れ日の中で>IrisCard/NormalIrisCard#AC06-1030]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|服/胸も可|
|~|~|~|~|[[慈愛の加護>Iris/Explanation#tb_jiai]]|~|
|AC06-1040|[[エリーナとマリオネット>IrisCard/NormalIrisCard#AC06-1040]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|服/胸も可|
|~|~|~|~|[[基礎技術力強化>Iris/Explanation#tb_spup]]|~|
|AC06-1050|[[正体不明>IrisCard/NormalIrisCard#AC06-1050]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|服も可|
|~|~|~|~|[[ウェポンプラス>Iris/Explanation#tb_weaponPlus]]|~|
|~|~|~|~|[[アーマープラス>Iris/Explanation#tb_armorPlus]]|~|
|AC06-1060|[[メタリカ>IrisCard/NormalIrisCard#AC06-1060]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|服も可|
|~|~|~|~|[[アーマープラス>Iris/Explanation#tb_armorPlus]]|~|
|AC06-1070|[[ジェントルタイニー>IrisCard/NormalIrisCard#AC06-1070]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]||
|~|~|~|~|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]|~|
|AC06-1080|[[ドミニオン背徳者>IrisCard/NormalIrisCard#AC06-1080]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]||
|~|~|~|~|[[マジックプラス>Iris/Explanation#tb_masicPlus]]|~|
|AC06-1090|[[ヴァレリア特☆製スープ！>IrisCard/NormalIrisCard#AC06-1090]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|服/胸も可|
|~|~|~|~|[[基礎体力強化>Iris/Explanation#tb_hpup]]|~|
|AC06-1100|[[世界の名を冠せし竜>IrisCard/NormalIrisCard#AC06-1100]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]||
|~|~|~|~|[[ジャイアントキリング>Iris/Explanation#tb_gkilling]]|~|
|AC06-1110|[[デコイ>IrisCard/NormalIrisCard#AC06-1110]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|服/胸も可|
|~|~|~|~|[[慈愛の加護>Iris/Explanation#tb_jiai]]|~|
|AC06-1120|[[幻影のヴェルデガルド>IrisCard/NormalIrisCard#AC06-1120]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]||
|~|~|~|~|[[マジックプラス>Iris/Explanation#tb_masicPlus]]|~|
|AC06-1130|[[しあわせをまねくねこ>IrisCard/NormalIrisCard#AC06-1130]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|服/胸も可|
|~|~|~|~|[[慈愛の加護>Iris/Explanation#tb_jiai]]|~|
|AC06-1140|[[マリオネストのエリーナ>IrisCard/NormalIrisCard#AC06-1140]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|服/胸も可|
|~|~|~|~|[[基礎知力強化>Iris/Explanation#tb_mpup]]|~|
|AC06-1150|[[マンドラ3匹>IrisCard/NormalIrisCard#AC06-1150]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]|服/胸も可|
|~|~|~|~|[[豊作>Iris/Explanation#tb_housaku]]|~|
|AC06-1160|[[黒い聖堂司祭>IrisCard/NormalIrisCard#AC06-1160]]|''C''|-|[[みんつく>Iris/Explanation#tb_mintsuku]]||
|~|~|~|~|[[マジックプラス>Iris/Explanation#tb_masicPlus]]|~|
|AC07-1010|[[亡国の姫君>IrisCard/ExIrisCard0#AC07-1010]]|&COLOR(#ffa500){''R''};|-|[[魔法の心得>Iris/Explanation#tb_Mahou]]||
|AC07-1020|[[千姫と魔鳥フェニックス>IrisCard/ExIrisCard0#AC07-1020]]|&COLOR(#ffa500){''R''};|-|[[攻撃の心得>Iris/Explanation#tb_Kogeki]]||
|AC07-2010|[[ソードマン>IrisCard/ExIrisCard0#AC07-2010]]|''C''|-|[[攻撃の心得>Iris/Explanation#tb_Kogeki]]||
|~|~|~|~|[[ショートレンジバースト>Iris/Explanation#tb_Srange]]|~|
|AC07-2030|[[スカウト>IrisCard/ExIrisCard0#AC07-2030]]|''C''|-|[[攻撃の心得>Iris/Explanation#tb_Kogeki]]||
|AC07-2040|[[アーチャー>IrisCard/ExIrisCard0#AC07-2040]]|''C''|-|[[攻撃の心得>Iris/Explanation#tb_Kogeki]]||
|~|~|~|~|[[ロングレンジバースト>Iris/Explanation#tb_Lrange]]|~|
|AC07-2050|[[ウィザード>IrisCard/ExIrisCard0#AC07-2050]]|''C''|-|[[魔法の心得>Iris/Explanation#tb_Mahou]]|胸も可|
|AC07-2060|[[シャーマン>IrisCard/ExIrisCard0#AC07-2060]]|''C''|-|[[魔法の心得>Iris/Explanation#tb_Mahou]]|服も可|
|AC07-2070|[[ウァテス>IrisCard/ExIrisCard0#AC07-2070]]|''C''|-|[[深愛の絆>Iris/Explanation#tb_shinai]]||
|AC07-2080|[[ウォーロック>IrisCard/ExIrisCard0#AC07-2080]]|''C''|-|[[魔法の心得>Iris/Explanation#tb_Mahou]]||
|~|~|~|~|[[攻撃の心得>Iris/Explanation#tb_Kogeki]]|~|
|AC08-1010|[[大導師>IrisCard/ExIrisCard0#AC08-1010]]|&COLOR(#ffa500){''R''};|-|[[マジックブレイズン>Iris/Explanation#tb_Magic_b]]||
|AC08-1030|[[闘技場マスター>IrisCard/ExIrisCard0#AC08-1030]]|&COLOR(#ffa500){''R''};|-|[[アサルトブレイズン>Iris/Explanation#tb_assault_b]]||
|AC08-2030|[[黒の聖堂>IrisCard/ExIrisCard0#AC08-2030]]|&COLOR(#0000ff){''UC''};|-|[[漆黒の徨手>Iris/Explanation#tb_sikkoku]]||
|AC08-3010|[[フィリップの酒屋>IrisCard/ExIrisCard0#AC08-3010]]|''C''|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]||
|AC08-3030|[[アクロニア混成騎士団>IrisCard/ExIrisCard0#AC08-3030]]|''C''|-|[[アサルトブレイズン>Iris/Explanation#tb_assault_b]]||
|AC08-3080|[[マリオネットシステム>IrisCard/ExIrisCard0#AC08-3080]]|''C''|-|[[初心の心得>Iris/Explanation#tb_Syosin]]||
|~|~|~|~|[[クリプティックフォース>Iris/Explanation#tb_crypticforce]]|~|
|AC09-0010|[[茜空のベリアル>IrisCard/ExIrisCard0#AC09-0010]]|&COLOR(#FF0099){''SR''};|-|[[漆黒の徨手>Iris/Explanation#tb_sikkoku]]||
|AC09-1010|[[フシギ団の砦>IrisCard/ExIrisCard0#AC09-1010]]|&COLOR(#ffa500){''R''};|-|[[ラクーンフォート>Iris/Explanation#tb_RaccoonFort]]||
|AC09-2040|[[鉄火山のサラマンドラ>IrisCard/ExIrisCard0#AC09-2040]]|&COLOR(#0000ff){''UC''};|-|[[運搬の心得>Iris/Explanation#tb_Unpan]]|服も可|
|AC09-3030|[[パートナー仙人>IrisCard/ExIrisCard0#AC09-3030]]|''C''|-|[[トップブリーダーの心得>Iris/Explanation#tb_topBreeder]]||
|AC09-3080|[[帰れない冒険者>IrisCard/ExIrisCard0#AC09-3080]]|''C''|-|[[初心の心得>Iris/Explanation#tb_Syosin]]||
|AC10-0020|[[ロックシンガー、リオ>IrisCard/ExIrisCard0#AC10-0020]]|&COLOR(#FF0099){''SR''};|-|[[歌にかける情熱>Iris/Explanation#tb_utajounetu]]|胸も可|
|AC10-2010|[[魔法使い見習い、橘みかん>IrisCard/ExIrisCard0#AC10-2010]]|&COLOR(#0000ff){''UC''};|-|[[見習い魔法使い>Iris/Explanation#tb_minaraiWizard]]|胸も可|
|AC10-2020|[[生徒会長、エリー>IrisCard/ExIrisCard0#AC10-2020]]|&COLOR(#0000ff){''UC''};|-|[[ウェポンビルダー>Iris/Explanation#tb_weapon]]||
|AC10-3050|[[水無瀬シズク>IrisCard/ExIrisCard0#AC10-3050]]|''C''|-|[[KM８６．０>Iris/Explanation#tb_KM86]]|胸も可|
|AC10-3110|[[クリス・Ｗ・ハートランド>IrisCard/ExIrisCard0#AC10-3110]]|''C''|-|[[白銀の護手>Iris/Explanation#tb_hakugin]]||
|AC11-0020|[[リリの迎撃>IrisCard/ExIrisCard0#AC11-0020]]|&COLOR(#FF0099){''SR''};|-|[[ロックオン>Iris/Explanation#tb_LockOn]]||
|AC11-3020|[[タイタニア研究家>IrisCard/ExIrisCard0#AC11-3020]]|''C''|-|[[時空の導き手>Iris/Explanation#tb_Zikuu]]||
|AC11-3040|[[ドールズ軍と教育係>IrisCard/ExIrisCard0#AC11-3040]]|''C''|-|[[守りの心得>Iris/Explanation#tb_Mamori]]||
|AC11-3070|[[リディアとリタの助手>IrisCard/ExIrisCard0#AC11-3070]]|''C''|-|[[流水の心得>Iris/Explanation#tb_ryuusui]]||
|AC11-3080|[[大富豪ディアマント>IrisCard/ExIrisCard0#AC11-3080]]|''C''|-|[[アサルトブレイズン>Iris/Explanation#tb_assault_b]]||
|AC12-0020|[[フーカと虹のかけら>IrisCard/ExIrisCard0#AC12-0020]]|&COLOR(#FF0099){''SR''};|-|[[インビジブルフォース>Iris/Explanation#tb_InvisibleForce]]||
|AC12-1010|[[天まで続く塔に降り立った竜>IrisCard/ExIrisCard0#AC12-1010]]|&COLOR(#ffa500){''R''};|-|[[時空の導き手>Iris/Explanation#tb_Zikuu]]||
|AC12-2010|[[ネコマタ（空）との出会い>IrisCard/ExIrisCard0#AC12-2010]]|&COLOR(#0000ff){''UC''};|-|[[マジックブレイズン>Iris/Explanation#tb_Magic_b]]||
