|~|~|~|~|~MIN|~MAX|~MIN|~MAX|~|~|~|~|~|~|~|~|
|CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|1|+6|+4|+2|+2|+1|+2|+1|+2|+2|+2|+2|+2|+2|+2|+2|
|''10''|+30|+18|+12|+6|+2|+4|+2|+4|+2|+6|+4|+4|+2|+3|+3|
|15|+36|+18|+18|+7|+4|+6|+2|+4|+4|+7|+5|+5|+4|+4|+4|
|''20''|+48|+24|+36|+8|+5|+6|+4|+5|+4|+8|+6|+6|+4|+6|+6|
|25|+72|+54|+42|+10|+6|+8|+4|+6|+5|+10|+6|+7|+5|+7|+7|
|''30''|+84|+60|+48|+12|+7|+8|+4|+6|+6|+11|+7|+8|+5|+8|+8|
|35|+96|+72|+60|+13|+8|+10|+5|+6|+6|+12|+7|+10|+6|+9|+9|
|''40''|+114|+78|+72|+14|+10|+11|+6|+6|+6|+13|+8|+11|+6|+10|+10|
|45|+138|+90|+84|+16|+11|+13|+7|+7|+6|+13|+10|+12|+7|+12|+12|
|''50''|+156|+96|+96|+16|+12|+14|+7|+7|+7|+16|+11|+13|+7|+13|+13|
|''60''|+192|+102|+114|+18|+14|+17|+10|+8|+7|+17|+13|+16|+8|+15|+15|
|65|+216|+114|+126|+19|+16|+18|+11|+10|+8|+18|+14|+17|+8|+16|+16|
|''70''|+228|+120|+144|+20|+16|+19|+12|+10|+10|+19|+14|+18|+10|+18|+18|
|75|+240|+150|+162|+22|+17|+19|+12|+10|+10|+20|+16|+19|+10|+19|+19|
|''80''|+252|+162|+174|+23|+17|+22|+13|+11|+10|+20|+16|+20|+11|+20|+20|
|85|+270|+174|+180|+24|+18|+23|+16|+12|+11|+22|+17|+22|+11|+21|+21|
|95|+288|+192|+204|+26|+20|+24|+18|+13|+12|+24|+18|+24|+12|+24|+24|
|''100''|+288|+204|+216|+26|+22|+25|+18|+13|+13|+25|+19|+25|+13|+25|+25|
|101|+300|+216|+228|+28|+22|+26|+18|+13|+13|+25|+19|+26|+13|+26|+26|
|102|+300|+216|+228|+28|+22|+26|+19|+13|+13|+25|+19|+26|+13|+26|+26|
|103|+300|+216|+228|+28|+23|+26|+19|+13|+13|+25|+20|+26|+13|+26|+26|
|104|+300|+222|+234|+28|+23|+26|+19|+13|+13|+25|+20|+26|+13|+26|+26|
|105|+312|+222|+234|+28|+23|+26|+19|+14|+13|+26|+20|+26|+13|+26|+26|
|106|+312|+222|+234|+29|+23|+26|+19|+14|+14|+26|+20|+28|+13|+27|+27|
|107||||||||||||||||
|108|+318|+222|+240|+29|+24|+26|+19|+14|+14|+26|+20|+28|+13|+27|+27|
|109|+318|+228|+246|+29|+24|+28|+20|+14|+14|+28|+22|+28|+13|+27|+27|
|''110''|+330|+234|+252|+30|+24|+28|+20|+16|+14|+28|+22|+29|+13|+27|+27|


*情報提供・コメント欄（Wikiの編集が苦手な方はこちらに） [#nd73fa8c]
COLOR(red):コメント欄はゲーム内容を質問する場ではありません。質問等は[[外部スレッド>Tutorial#rdccae80]]にどうぞ。
#pcomment(,10)
