# Skill/Wotes/naguri/Equip

RIGHT:&edit(,noicon){レベル別最適装備を編集};
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|LEFT:|c
|50|[[リュート>http://eco.acronia.net/equipdb/#id=792]]|40|44|25|生産(杖製造)|楽器なのでマスタリ、命中上昇は適用外|
|52|[[アーチンメイス>http://eco.acronia.net/equipdb/#id=494]]|43|-|35|生産(鉄火場)|待望の｢容易｣製造武器！&br;ｱｰﾁﾝのﾄｹﾞ(20)、ﾒﾀﾙｱｰﾁﾝのﾄｹﾞ(1)、ｳｨﾘｰﾄﾞｩの玉(1)、&br;鉄の棒(1)で作れるという安価な装備。&br;耐久35というのも素敵である。|
|52|時空の杖(各6属性)|&color(red){40};|&color(blue){52};|20|クエスト報酬&br;ダウンタウン&br;時を知る占い師レミア|水晶に精霊の力を込めてもらうイベント報酬。&br;ATK40、MATK52は強力で憑依落ちも多い。&br;1キャラクターで1本しか入手できない。&br;敵や狩場に合わせて属性を使い分けるのもいいかも。|
|52|[[大木槌>http://eco.acronia.net/equipdb/#id=713]]|48|-|30|フシギ団の砦ブラックマーケット店員 (54000G)|両手装備・射程２セル。未精錬状態でのATK比較は60片手鈍器をも凌駕する。|
|52|[[大木槌改>http://eco.acronia.net/equipdb/#id=1047]]|48|-|30|生産(鉄火場)|クリティカルアップが付いたもの。硬い敵には最高の武器となる。クリティカルの偏りがあるため安定性に欠けるのが難。材料は比較的集めやすく作りやすい。|
|52|[[メイジスタッフ>http://eco.acronia.net/equipdb/#id=703]]|37|49|20|フシギ団の砦ブラックマーケット店員 (50500G)|時空杖が使い物にならなくなった場合には買ってもいいのかもしれない。|
|60|[[ガーディアンメイス>http://eco.acronia.net/equipdb/#id=714]]|47|-|35|アンデッドの城・亡国の姫君 (61000G)|購入には、イヤリングの左右を揃えなくてはならないのと&br;購入できる品揃えは３種のパターンから、ランダムで選ばれる。&br;これ以降の装備は修理キットが&quot;ゴールド&quot;になる為、注意。|
|60|[[マナスタッフ>http://eco.acronia.net/equipdb/#id=675]]|40|57|20|アンデッドの城・亡国の姫君 (59000G)|購入には、イヤリングの左右を揃えなくてはならないのと&br;購入できる品揃えは３種のパターンから、ランダムで選ばれる。|
|60|[[ライトニングワンド>http://eco.acronia.net/equipdb/#id=724]]|41|58|20|アンデッドの城・亡国の姫君 (60000G)|購入には、イヤリングの左右を揃えなくてはならないのと&br;購入できる品揃えは３種のパターンから、ランダムで選ばれる。&br;風属性値+10なのでサウス方面で有効かもしれない。&br;[[プラスエレメント>Skill/ForceMaster/Explanation#pluse]]の効果を最大限に生かすため、属性値の高い憑依装備が落ちていることもある。&br;2013年現在ではこれより下のランクの武器が憑依落ちしている可能性はほぼない。|
|60|[[支配の杖>http://eco.acronia.net/equipdb/#id=681]]|39|59|20|アンデッドの城・亡国の姫君 (59500G)|購入には、イヤリングの左右を揃えなくてはならないのと&br;購入できる品揃えは３種のパターンから、ランダムで選ばれる。&br;ルルイエの杖と同じ。|
|60|[[扇子>http://eco.acronia.net/equipdb/#id=208]]|8|-|12|宝箱等|おしゃれ用。特殊装備の為、修練、命中上昇は適用されない。|
|60|[[鉄扇>http://eco.acronia.net/equipdb/#id=736]]|45|45|35|宝箱等|扇子にMATKがくっついて少し強くなった程度。&br;特殊装備の為、修練、命中上昇は適用されない。|
|60|[[精霊のハープ>http://eco.acronia.net/equipdb/#id=791]]|46|52|30|生産(杖製造)|楽器なのでマスタリ、命中上昇は適用外|
|60|グラッドハンマー1000|52|-|25|[[戦場の強欲商人>http://eco.acronia.net/wiki/?defense#n94c5fc2]](40000CP)|【性能開放可能】&br;性能開放の数値しだいで結構強くなるが、40000CP出す価値はない。ネタ装備。&br;戦場の強欲商人が売っている装備は他に両手斧と杖と楽器が装備可能だがそちらも同様。|
|65|バルディスアックス|40|-|20|[[戦場の強欲商人>http://eco.acronia.net/wiki/?defense#n94c5fc2]](40000CP)|【性能開放可能】&br;両手斧なのでマスタリ、命中上昇は適用外。クリティカル率アップのパッシブスキル付き。なぜか全職装備可能。&br;STRVITAGIと殴りには嬉しい補正がつくこともある。|
|65|ブリザードクイーン|38|60|30|[[戦場の強欲商人>http://eco.acronia.net/wiki/?defense#n94c5fc2]](40000CP)|【性能開放可能】&br;魔法防御+10だが性能開放すると消えてしまう。|
|65|デフェリシェルーチェ|48|55|30|[[戦場の強欲商人>http://eco.acronia.net/wiki/?defense#n94c5fc2]](40000CP)|【性能開放可能】&br;楽器なのでマスタリ、命中上昇は適用外。|
|70|[[ルビーメイス>http://eco.acronia.net/equipdb/#id=948]]|55|-|35|生産(武器製造)||
|70|[[タイニーロッド>http://eco.acronia.net/equipdb/#id=972]]|44|64|25|タイニーアイランドのパイレーツタイニー&br;(タイニーメダル1枚で交換可能)|殴りならタイタニアロッドよりこっちの方がいいかも&br;(タイタニアと比べてATK+4は誤差の範囲かもしれないが)|
|70|[[タイタニアロッド>http://eco.acronia.net/equipdb/#id=962]]|40|67|25|生産(杖製造)||
|70|[[ギター>http://eco.acronia.net/equipdb/#id=961]]|52|57|35|生産(杖製造)|楽器なのでマスタリ、命中上昇は適用外|
|80|[[うちでの小槌>http://eco.acronia.net/equipdb/#id=1090]]|69|-|35|生産(武器製造)||
|80|[[ボーワ>http://eco.acronia.net/equipdb/#id=1107]]|48|76|25|生産(杖製造)|殴りならミンストレルノートよりこっちの方がいいかも&br;(ミンストレルと比べてATK+5は誤差の範囲かもしれないが)|
|80|[[ミンストレルノート>http://eco.acronia.net/equipdb/#id=1091]]|43|79|25|生産(杖製造)||
|80|[[天上のハープ>http://eco.acronia.net/equipdb/#id=1164]]|64|65|30|機械のかたまり,コンテナ５,６&br;「ハーピー」ドロップ|楽器なのでマスタリ、命中上昇は適用外&br;70楽器のギターに比べて性能は高めだが入手が困難|
|90|[[ハリセンボン>http://eco.acronia.net/itemdb/#id=1977]]|77|-|35|真空パック(90武器入手イベント)|量産があった90武器の中でぶっちゃけ不人気武器で捨て値で売ってる露店も多いためかなり容易に入手できると思われる|
|90|[[不思議な杖>http://eco.acronia.net/equipdb/#id=1310]]|61|85|25|生産(杖製造)&br;真空パック(90武器入手イベント)|ボーワに比べて結構殴り攻撃力が上がっているため、杖で殴るタイプなら欲しいかも。90武器はかなりの量が量産されていたりするので(一応修正で不可にはなったがそれでもかなりの量が出回ってると思われる)、もしかしたら80武器のボーワ・ミンストレルノートに比べて入手が楽かもしれない。&br;材料の一つ、ペリドットのとげは鉱物知識必須だがその他の材料は入手が比較的容易なのでペリドットのとげが手に入るあてがあるなら作るのもありかもしれない。|
|90|[[エレクトリックハープ>http://eco.acronia.net/equipdb/#id=1496]]|71|77|35|真空パック(90武器入手イベント)|楽器なのでマスタリ、命中上昇は適用外&br;90武器は量産があったが、楽器は割りと人気が高い武器なのでやや前述の二つよりは購入だと入手が難しいかもしれない|
|99|[[神槌・ミョルニル>http://eco.acronia.net/equipdb/#id=1857]]|101|-|35|[[99武器入手イベント>Quest/ECOtown#f7a3e693]]|近接命中が20上昇する|
|99|[[宝杖・レッドルナ>http://eco.acronia.net/equipdb/#id=1848]]|76|105|30|[[99武器入手イベント>Quest/ECOtown#f7a3e693]]|99武器の中では当たりの部類に入るためどうしても高騰しがちか…&br;魔法命中が20上昇する(ボス相手だと封魔・封印の成功率に関係するらしい)|
|99|[[真絃・ソウルゲイザー>http://eco.acronia.net/equipdb/#id=1841]]|91|97|30|[[99武器入手イベント>Quest/ECOtown#f7a3e693]]|楽器なのでマスタリ、命中上昇は適用外&br;99武器の中では必要素材の関係から入手が容易かと思われる&br;魔法命中が20上昇する(ボス相手だと封魔・封印の成功率に関係するらしい)|
|100|[[鏡花水月の扇>http://eco.acronia.net/equipdb/#id=1813]]|132|-|25|エンシェントアーク報酬|近距離回避+10 遠距離回避+10 魔法抵抗+10 SP+80 クリティカル+5 クリティカル回避+5&br;自力入手は困難だが露店などで(110武器よりは)安価で購入可能&br;+つきのものもあるが増えるのはSPとVITとDEXのみなので+なしでも十分&br;110武器の入手や強化が難しいならこれが最終武器でもかまわない|
|110|降魔槌・クレイオス|145|-|35|[[110武器入手イベント>Quest/Tonka/Lv110weapons]]|魔法抵抗+30 近距離命中+40 DEX+2 INT+2 VIT+1 スキル「竜眼開放・極」使用可能&br;ウァテス系が装備できる武器の中では(メイスマスタリー込みで)一番攻撃力が高いが、片手槌なので魔法攻撃力はなし&br;竜眼開放・極を使う時のみ装備して下位の武器に持ち替えるのもあり|
|110|黎明杖・カドゥケウス|84|153|30|[[110武器入手イベント>Quest/Tonka/Lv110weapons]]|魔法防御力+15 MP+150      DEX+3 MAG+2 魔法命中+30 スキル「竜眼開放・極」使用可能&br;魔法攻撃力の高さは魅力的だが、同レベルのクレイオスと比べると61も攻撃力に差が出てしまう&br;本と比べると若干性能は落ちるがSU系全てで使いまわせるメリットがあるためそれなりに人気があり値段も高い&br;魔力以外の精錬を行うのは相当な勇気がいる|
|110|浄絃・ソウルセラフィム|111|125|35|[[110武器入手イベント>Quest/Tonka/Lv110weapons]]|魔法防御力+10 近距離回避+10 魔法抵抗+10 MP+150 DEX+3 MAG+2 魔法命中+20 クリティカル回避+15 射程2 &br;スキル「竜眼開放・極」使用可能 楽器なのでマスタリ、命中上昇は適用外&br;演奏スキルを使いたければこれになるが、片手槌以下の攻撃力で両手が塞がるデメリットは終盤では大きいかもしれない|
|110|バレットセイバー[G9]（Change前・短剣）|138|-|25|バレットセイバー[G8]をバレットブレード改造キット（金）で改造|近距離命中+10 近距離回避+20 遠距離回避+10 クリティカル+10&br;短剣なのでマスタリ、命中上昇は適用外 攻撃は斬り攻撃。&br;短剣や短銃をメインで使うイレイザーやホークアイ等と使いまわすならありかもしれない。&br;ウァテス系はChange後の短銃のほうが使い勝手がいいかも。&br;クリティカル+10は魅力だが、他の性能は既存の110武器の劣化版で作成の難度も高いのが難点か。|
|110|バレットセイバー[G9]（Change後・短銃）|155|-|25|バレットセイバー[G9]をChangeさせる|遠距離命中+10 近距離回避+10 遠距離回避+20 射程5&br;短銃なのでマスタリ、命中上昇は適用外 攻撃は突き攻撃。 Change後の武器なので潜在強化の恩恵は受けられない。&br;短剣や短銃をメインで使うイレイザーやホークアイと使いまわすならありかもしれない。&br;高めのINT補正のおかげであまりINTを振らずとも攻撃を当てていける。&br;命中率UPのためにDEXを振らなくなる分、詠唱速度が遅くなるので注意。|
(対価と効果の関係でLv11以前の装備等をレプリカ盾以外掲載していません。)
