# Skill/Druid/Table

//-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
☆:必須クラス
◎:取得推奨
○:あると便利
△:限定状況でのみ役に立つ
×:全く役に立たない
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #ドルイド>Dungeon/InfiniteCorridorAbyssSkill#r9d85c8c]]''

RIGHT:&edit(,noicon){スキル早見表を編集};

|~Job&br;Lv|~名称|~略称|~属&br;性|~Max&br;Lv|~消費MP&br;消費SP|~目標|~射程|~効果|>|~PT評価|~コメント|h
|~28|BGCOLOR(#fffafa):''[[ラウズボディ>../Explanation#RouseBody]]''|||5|10+SkillLv×2|単体|3|対象の体力を上昇させる&br;プレイヤーの場合は STR、VIT、AGI&br;パートナーの場合は 物理攻撃力、近距離回避力、物理防御力を上昇する|☆|◎|ディビリテイトを受けた際に打ち消すことができる。&br;2012/8/23のUPDATEで効果時間が大幅上昇。|
|~30|BGCOLOR(#e9ffff):[[ホーリーライズ>../Explanation#HolyRise]]|HR|BGCOLOR(#fffacd):光|5|2+SkillLV×3|単体|5|一定時間対象に光の力を与える|◯|◯|ＰＴ狩りの時は、ＰＴメンバーと相談の上使うこと|
|~30|[[光の魂>../Explanation#HolySoul]]|||1|''&color(blue){P};''|''&color(blue){P};''||憑依時、宿主の戦闘能力を上昇させる。上昇量は自身の能力に依存する、憑依落ち時も効果あり。|◯|◯||
|~33|BGCOLOR(#fffafa):''[[ラウズメンタル>../Explanation#RouseMental]]''|||5|10+SkillLv×2|単体|3|対象の集中力を上昇させる&br;プレイヤーの場合は MAG、INT、DEX&br;パートナーの場合は 魔法攻撃力、魔法抵抗力、魔法防御力を上昇させる|☆|◎|クラッタ―の効果を打ち消せる。&br;2012/8/23のUPDATEで効果時間が大幅上昇。|
|~35|[[憑依速度上昇>../Explanation#PossessingSpeedUp]]|||5|''&color(blue){P};''|''&color(blue){P};''||憑依にかかる時間を短縮させる|×|×|演習で憑依メインの方は◎|
|~40|[[スパーナルレイ>../Explanation#SupernalRay]]||BGCOLOR(#fffacd):光|5|25+SkillLV×3|自分を中心とした円||自身の周囲に居るアンデッドに対し光属性攻撃を行う&br;[[ターンアンデッド>Skill/Wotes/Explanation#TurnUndead]]習得Lvにより、威力が上昇する|△|△|見た目は派手&br;範囲リフレクション剥がしとしても使える。|
|~40|[[スペルキャンセル>../Explanation#SpellCancel]]|||1|SP:5|自分専用||詠唱中の魔法スキルをキャンセルできるようになる|×|×|これを取るなら他のスキルを取得した方が良い。|
|~45|BGCOLOR(#f0f8ff):[[エリアヒール>../Explanation#AreaHeal]]|AH|BGCOLOR(#fffacd):光|5|10+SkillLV×7|自分を中心とした円||自身とその周囲の対象を回復させる。|×|◯|詠唱が早く対象の選択不要のため緊急用に便利。ただし範囲が狭い|
|~47|BGCOLOR(#f0f8ff):[[プラーナ>../Explanation#Purana]]|||5|21+SkillLV×3|単体|5|全状態異常レジストスキル。|◯|◯|レジストスキルと同様にレジスト無視の状態異常スキルを防ぐことができない。|
|~50|BGCOLOR(#f0f8ff):''[[セイクリッドエンブレイス>../Explanation#Sacredes]]''|セイク||5|125/145/165&br;/185/215|地面を中心にした円|5|指定範囲内にいる者を対象にHP大回復をさせ、HP、MP、SPの回復力上昇効果を付与させる。&br;さらに死亡した対象を蘇らせることができる。|◎|☆|範囲リザとして使用することが多い。消費大詠唱ディレイ長と制約もある。アンデッド狩りで火力としても活躍できる。|
|~Job&br;Lv|~名称|~略称|~属&br;性|~Max&br;Lv|~消費MP&br;消費SP|~目標|~射程|~効果|~少&br;数|~多&br;数|~コメント|f
