# DEM/Chip/SkillChip

#author("2017-04-06T17:35:45+00:00","","")
#include(DEM/Menu,notitle)
*DEMスキルチップ一覧 [#c47ab0c5]

#contents
→&size(18){''ステータス系チップ一覧は''[[''こちら''>DEM/Chip]]};

←&size(18){[[DEMトップに戻る>DEM]]};

→''チップの入手方法''は[[チップ>DEM#mdd839fa]]を参照
→スキル詳細は[[''DEMスキル一覧''>DEM/Skill]]を参照

先頭が■のチップは経験値で購入、先頭が□のチップは課金専用です
**スキルチップ重ねがけについて [#f449d315]

LV100以上のDEMは、「同一のスキルチップ」を複数枚重ねて設置する事ができます。

すでに設置されているスキルチップに対し、同一のスキルチップをドラッグ＆ドロップすることにより、スキルチップを重ねることができます。
エンゲージタスク効果は、重ね合わせ後のスキルLVに+1されます。

|>|>|~ノーマルチップ&br;■SK-[XXXXX]||>|>|~課金チップ&br;□SK-[XXXXX]|
|~Skill&br;Lv|~必要枚数|~累計枚数||~Skill&br;Lv|~必要枚数|~累計枚数|
|~Lv1|1|1|  |~Lv1|1|1|
|~Lv2|2|3|  |~Lv2|2|3|
|~Lv3|5|8|  |~Lv3|3|6|
|~Lv4|8|16| |~Lv4|5|11|
|~Lv5|10|26||~Lv5|7|18|
|~Lv6|12|38||~Lv6|8|26|
|~Lv7|14|52||~Lv7|9|35|
|~Lv8|16|68||~Lv8|10|45|
|~Lv9|18|86||~Lv9|11|56|
|~Lv10|20|106||~Lv10|12|68|

***共通系 [#CommonSkillChop]
|~名前|~形状(■)|~形状(□)|~最大Lv|~必要JobExp|~課金アイテム|h
|■SK-[スロウブロウ]&br;□SK-[スロウブロウ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-3%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-3%5D.png,nolink);|5|16,200|スキル箱・ツヴァイ|
|■SK-[バニシングブロウ]&br;□SK-[バニシングブロウ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-4%5D.png,nolink);|5|43,200|スキル箱・ツヴァイ|
|■SK-[最大MP上昇]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-2%5D.png,nolink,56x56);|-|5|810||
|■SK-[MP回復率上昇]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-3%5D.png,nolink,56x56);|-|5|810||
|■SK-[フードファイター]&br;□SK-[フードファイター]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyBarrier%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x3%5D.png,nolink);|5|234,000|スキル箱・フィーア|
|■SK-[瞑想]&br;□SK-[瞑想]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BMeisou%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BAcid%5D.png,nolink);|5|70,020|スキル箱・フィーア|
|■SK-[気合]&br;□SK-[気合]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-5%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-X%5D.png,nolink);|5|32,400|スキル箱・フィーア|
|■SK-[コンバインフォース]&br;□SK-[コンバインフォース]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x6%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/LI-%5BXX-1-2%5D.png,nolink);|3|576,000|スキル箱・フュンフ|
|■SK-[ファーストエイド]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BMeisou%5D.png,nolink,56x56);|-|5|468,000||
|■SK-[ブロウディレイキャンセル]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x4%5D.png,nolink,56x56);|-|3|100,000||
|■SK-[スラッシュディレイキャンセル]|~|~|~|~|~|
|■SK-[スティングディレイキャンセル]|~|~|~|~|~|
|■SK-[バレットディレイキャンセル]|~|~|~|~|~|
|■SK-[ジャイアントキリング]&br;□SK-[ジャイアントキリング]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-S1-Z%5D.png,nolink);|10|6,534,000|スキル箱・ゼクス|
|■SK-[オーバークロック]&br;□SK-[オーバークロック]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSenpuuken%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2RV%5D.png,nolink);|3|200,000,000|スキル箱・ゼクス|
|■SK-[ガラスフロムレン]&br;□SK-[ガラスフロムレン]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-S1-Z%5D.png,nolink);|1|200|スキル箱・ズィーベン|

***ファイター系 [#FSkillChip]
|~名前|~形状(■)|~形状(□)|~最大Lv|~必要JobExp|~課金アイテム|h
|LEFT:|CENTER:SIZE(8):BGCOLOR():COLOR():|CENTER:SIZE(8):BGCOLOR():COLOR():|CENTER:|RIGHT:|LEFT:|c
|■SK-[居合い]&br;□SK-[居合い]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-1%5D.png,nolink);|5|495|スキル箱・アインス|
|■SK-[居合い２段]&br;□SK-[居合い２段]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-17%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-6%5D.png,nolink);|5|54,000|スキル箱・ツヴァイ|
|■SK-[居合い３段]&br;□SK-[居合い３段]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x1%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BAcid%5D.png,nolink);|5|216,000|スキル箱・ツヴァイ|
|■SK-[旋風剣]&br;□SK-[旋風剣]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSenpuuken%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2VR%5D.png,nolink);|5|2,808,000|スキル箱・フィーア|
|■SK-[殺界]&br;□SK-[殺界]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x5Cap2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSenpuuken%5D.png,nolink);|5|24,480,000|スキル箱・フュンフ|
|■SK-[百鬼哭]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BHyakkikoku%5D.png,nolink,56x56);|-|5|25,200,000||
|■SK-[ブラフ]&br;□SK-[ブラフ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2VR%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink);|5|3,645,000|スキル箱・ドライ|
|■SK-[アジテイト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2HR%5D.png,nolink,56x56);|-|5|3,847,500||
|■SK-[一閃]&br;□SK-[一閃]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x8%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x9L%5D.png,nolink);|3|5,346,000|スキル箱・フュンフ|
|■SK-[斬撃無双]&br;□SK-[斬撃無双]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2%5D.png,nolink);|5|15,660,000|スキル箱・フュンフ|
|■SK-[ディミソリースピア]&br;□SK-[ディミソリースピア]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyBarrier%5D.png,nolink);|5|1,152,000|スキル箱・フィーア|
|■SK-[ディバインスピア]&br;□SK-[ディバインスピア]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x8%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x9L%5D.png,nolink);|5|3,645,000|スキル箱・フュンフ|
|■SK-[スピアサイクロン]&br;□SK-[スピアサイクロン]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSpearCyclone%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5%5D.png,nolink);|5|21,600,000|スキル箱・フュンフ|
|■SK-[ホーリーブレイド]&br;□SK-[ホーリーブレイド]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/LI-%5BXX-1-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x2%5D.png,nolink);|5|1,008,000|スキル箱・フィーア|
|■SK-[ライフスティール]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x8L%5D.png,nolink,56x56);|-|5|1,080,000||
|■SK-[ブラッディウエポン]&br;□SK-[ブラッディウエポン]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyBarrier%5D.png,nolink);|3|2,160,000|スキル箱・フュンフ|
|■SK-[プライスオブペイン]&br;□SK-[プライスオブペイン]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x8L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x4L%5D.png,nolink);|1|5,346,000|スキル箱・フュンフ|
|■SK-[ダークネスオブナイト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x4%5D.png,nolink,56x56);|-|5|9,720,000||
|■SK-[ハイディング]&br;□SK-[ハイディング]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-1%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-2%5D.png,nolink);|3|90,000|スキル箱・アインス|
|■SK-[急所攻撃]&br;□SK-[急所攻撃]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-6%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-6%5D.png,nolink);|5|37,800|スキル箱・アインス|
|■SK-[サマーソルトキック]&br;□SK-[サマーソルトキック]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BMeisou%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BAcid%5D.png,nolink);|5|64,800|スキル箱・ツヴァイ|
|■SK-[連続突き]&br;□SK-[連続突き]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x6%5D.png,nolink);|5|4,050,000|スキル箱・ツヴァイ|
|■SK-[クリティカル]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-2%5D.png,nolink,56x56);|-|5|27,000||
|■SK-[ブランディッシュ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-18%5D.png,nolink,56x56);|-|5|43,200||
|■SK-[クローキング]&br;□SK-[クローキング]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2VR%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink);|3|1,944,000|スキル箱・フィーア|
|■SK-[奇襲]&br;□SK-[奇襲]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BKisyuu%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2RV%5D.png,nolink);|5|14,580,000|スキル箱・フュンフ|
|■SK-[フラッシュグレネード]&br;□SK-[フラッシュグレネード]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyBarrier%5D.png,nolink);|3|1,224,000|スキル箱・ドライ|
|■SK-[デッドリーアタック]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x4%5D.png,nolink,56x56);|-|3|5,940,000||
|■SK-[チョーキングガス]&br;□SK-[チョーキングガス]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2HR%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BMeisou%5D.png,nolink);|5|2,025,000|スキル箱・ドライ|
|■SK-[投擲武器作成]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-3%5D.png,nolink,56x56);|-|5|594||
|■SK-[チャージアロー]&br;□SK-[チャージアロー]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-1%5D.png,nolink);|5|16,200|スキル箱・アインス|
|■SK-[遠距離戦術]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x3%5D.png,nolink,56x56);|-|5|59,400||
|■SK-[デュアルアロー]&br;□SK-[デュアルアロー]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BDualArrow%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-3%5D.png,nolink);|5|118,800|スキル箱・ツヴァイ|
|■SK-[名射手の構え]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x8%5D.png,nolink,56x56);|-|5|486,000||
|■SK-[バラージアロー]&br;□SK-[バラージアロー]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x3%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BMeisou%5D.png,nolink);|5|576,000|スキル箱・フィーア|
|■SK-[ブラストアロー]&br;□SK-[ブラストアロー]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x8L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x4L%5D.png,nolink);|5|5,940,000|スキル箱・フュンフ|
|■SK-[アームブレイク]&br;□SK-[アームブレイク]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x6%5D.png,nolink);|5|5,643,000|スキル箱・フュンフ|
|■SK-[バラージショット]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2VR%5D.png,nolink,56x56);|-|5|1,026,000||
|■SK-[チャージショット]&br;□SK-[チャージショット]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2HR%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x3%5D.png,nolink);|5|972,000|スキル箱・ドライ|
|■SK-[バレットダンス]&br;□SK-[バレットダンス]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2VR%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x4%5D.png,nolink);|5|6,534,000|スキル箱・フュンフ|
|■SK-[散弾]&br;□SK-[散弾]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x8%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x9L%5D.png,nolink);|5|11,340,000|スキル箱・フュンフ|
|■SK-[チャージストライク]&br;□SK-[チャージストライク]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-C1-3%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-B1-1%5D.png,nolink);|5|13,500|スキル箱・ツヴァイ|
|■SK-[クロスクレスト]&br;□SK-[クロスクレスト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BCrossCrest%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BChaosGate%5D.png,nolink);|5|23,760,000|スキル箱・フュンフ|
|■SK-[精密射撃]&br;|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x1%5D.png,nolink,56x56);|-|3|11,340,000||
|■SK-[ソリッドボディ]&br;□SK-[ソリッドボディ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-18%5D.png,nolink);|5|1,080,000|スキル箱・ゼクス|
|■SK-[クロッシングエッジ]&br;□SK-[クロッシングエッジ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSenpuuken%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2%5D.png,nolink);|3|320,000,000|スキル箱・ズィーベン|
|■SK-[ラピッドストライク]&br;□SK-[ラピッドストライク]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2RV%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x3%5D.png,nolink);|3|320,000,000|スキル箱・ズィーベン|
|■SK-[ソニックブレイカー]&br;□SK-[ソニックブレイカー]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSonicBreaker%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2VR%5D.png,nolink);|3|320,000,000|スキル箱・ズィーベン|
|■SK-[クーデグラ]&br;□SK-[クーデグラ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x8L-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSonicBreaker%5D.png,nolink);|3|320,000,000|スキル箱・ズィーベン|

***スペルユーザー系 [#SUSkillChip]
|~名前|~形状(■)|~形状(□)|~最大Lv|~必要JobExp|~課金アイテム|h
|LEFT:|CENTER:SIZE(8):BGCOLOR():COLOR():|CENTER:SIZE(8):BGCOLOR():COLOR():|CENTER:|RIGHT:|LEFT:|c
|■SK-[エナジーボルト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-7%5D.png,nolink,56x56);|-|5|594||
|■SK-[デコイ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-8%5D.png,nolink,56x56);|-|5|6,300||
|■SK-[エナジーバリア]&br;□SK-[エナジーバリア]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyBarrier%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x3%5D.png,nolink);|5|1,890,000|スキル箱・フィーア|
|■SK-[エナジーショック]&br;□SK-[エナジーショック]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BEnergyShock%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-4%5D.png,nolink);|5|16,200|スキル箱・アインス|
|■SK-[ダンシングソード]&br;□SK-[ダンシングソード]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-1%5D.png,nolink);|3|16,200|スキル箱・アインス|
|■SK-[エナジーブラスト]&br;□SK-[エナジーブラスト]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B3x2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/ST-%5BXXX-D1-1%5D.png,nolink);|5|108,000|スキル箱・ツヴァイ|
|■SK-[ソリッドオーラ]&br;□SK-[ソリッドオーラ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x8L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x4L%5D.png,nolink);|5|3,847,500|スキル箱・フィーア|
|■SK-[ディバインバリア]&br;□SK-[ディバインバリア]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B6x6L-2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B5x5L-2VR%5D.png,nolink);|5|11,880,000|スキル箱・フュンフ|
|■SK-[マジックバリア]&br;□SK-[マジックバリア]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x9L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B1x9%5D.png,nolink);|5|2,025,000|スキル箱・フュンフ|
|■SK-[レイビングソード]&br;□SK-[レイビングソード]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B9x5Cap2%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/SK-%5BSenpuuken%5D.png,nolink);|3|23,040,000|スキル箱・フュンフ|
|■SK-[リビングスタッフ]&br;□SK-[リビングスタッフ]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x9L%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B1x9%5D.png,nolink);|5|1,224,000|スキル箱・ドライ|
|■SK-[リフレクション]&br;□SK-[リフレクション]|&ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B4x4%5D.png,nolink,56x56);|#ref(http://eco.acronia.net/img/gamedb_wiki/ChipImage/Chip%5B2x6%5D.png,nolink);|1|5,940,000|スキル箱・フュンフ|
