# Skill/Novice/Equip

#fold{{{
ノービスLV別最適装備
RIGHT:&edit(,noicon){レベル別最適装備を編集};

|~LV|~頭部&アクセ|~顔&アクセ|~胸部|~右手|~左手|~上半身|~下半身|~靴|~ソックス|h
|41||||||||スパイクブーツ&br;防4/魔防5&br;ノーザン王国軍詰め所&br;28000G&br;&color(red){長ズボン系×};||
|42||||||戦闘服♂・♀&br;防34/魔防33&br;ノーザン王国軍詰め所&br;35000G♂・36000G♀||||
|44||||||&color(blue){白い軍服EX&br;防36/魔防13&br;必要DEX15};&br;&br;&color(blue){シルバーメイルEX&br;防35/魔防28};||||
|45|&color(blue){シニヨンカバー♀&br;防5/魔防7};|||&color(blue){チタンメイス&br;叩41/斬22/突28};&br;&br;&color(blue){ビーカー&br;叩35/斬3/突7};&br;&br;&color(blue){虫眼鏡&br;叩34/斬5/突5};||||&color(blue){炎鉄の靴&br;防6/魔防0};||
|52|アカデミーハット&br;防8/魔防8&br;トンカ裁縫屋&br;13500G|||&color(blue){大木槌改&br;叩48/突5};&br;&br;&color(blue){アーチンメイス&br;叩43/斬24/突30};||アカデミーチュニック♂&br;防40/魔防40&br;トンカ裁縫屋&br;55000G&br;&br;アカデミーワンピース♀&br;防40/魔防40&br;トンカ裁縫屋&br;55000G|アカデミーズボン♂&br;防3/魔防4&br;トンカ裁縫屋&br;15000G|アカデミーシューズ♂&br;防6/魔防7&br;トンカ裁縫屋&br;30000G&br;&color(red){長ズボン系×};&br;&br;アカデミーブーツ♀&br;防6/魔防7&br;トンカ裁縫屋&br;30000G&br;&color(red){長ズボン系×};||
|60|ファーイーストケープ&br;防9/魔防9&br;フシギ団の砦ブラックマーケット店員&br;31000G&br;&br;&color(blue){タイニークラウン&br;防10/魔防10&br;必要AGI30};|||ガーディアンメイス&br;叩47/斬26/突33&br;アンデッドの城・亡国の姫君&br;61000G&br;&br;&color(blue){鉄扇&br;叩45/斬15/突12/魔45};||革ジャン♂&br;防48/魔防40&br;フシギ団の砦ブラックマーケット店員&br;58000G&br;&br;盟約の服♀&br;防48/魔防40&br;フシギ団の砦ブラックマーケット店員&br;58000G||牛革の靴&br;防7/魔防7&br;フシギ団の砦ギルド商人&br;44000G&br;&br;牛革のハイヒール&br;防7/魔防7&br;フシギ団の砦ギルド商人&br;44000G||
|70|格闘帽子&br;防10/魔防10&br;モーグ裁縫屋&br;35000G&br;&br;&color(blue){フルフェイスヘルメット&br;防14/魔防6&br;CP交換&br;4000CP～};|||&color(blue){ルビーメイス&br;叩55/斬28/突35};||格闘着&br;防56/魔防44&br;モーグ裁縫屋&br;70000G&br;&br;&color(blue){無地のタンクトップ♀・♂&br;防50/魔防50&br;CP交換&br;1600CP～};|格闘ズボン&br;防4/魔防3&br;モーグ裁縫屋&br;10000G|||
|75||&color(blue){ガンナーマスク&br;防2/魔防2};||||||||
|80|おでかけ帽子&br;防14/魔防13&br;モーグ商人ギルド総本山&br;38000G|||&color(blue){トゥールハンマー&br;叩79/斬25/突41};&br;&br;&color(blue){うちでの小槌&br;叩69/斬36/突39};&br;&br;カーマインメイス&br;叩65/斬30/突34&br;カーマインブリックシティ武器屋のお兄さん&br;70000G|&color(blue){マジックシールド&br;防20/魔防25/近回避10/遠回避10/魔回避10};|闘牛の鎧ＥＸ（青）&br;防70/魔防55&br;モーグ商人ギルド総本山&br;80000G&br;&br;おでかけ服♀（青）&br;防69/魔防64&br;モーグ商人ギルド総本山&br;75000G|おでかけズボン♂（青）&br;防4/魔防3&br;モーグ商人ギルド総本山&br;15000G&br;&br;闘牛のスカート♀（青）&br;防4/魔防3&br;モーグ商人ギルド総本山&br;15000G|&color(blue){ドミニオンブーツ&br;防10/魔防10};&br;&color(red){長ズボン系×};||
|85|&color(blue){ネイティブハット&br;防16/魔防16};|||||||||
|90||||&color(blue){ザ・肉！&br;叩88/突44};&br;&br;&color(blue){ハリセンボン&br;叩77/斬55/突55};&br;&br;&color(blue){ヒラーワハンマー&br;叩100/斬60/突60};|&color(blue){にゃんこガード&br;防23/魔防17/近回避13/遠回避13/魔回避6};|&color(blue){軍服軽装（無国籍）&br;防75/魔防65};&br;&br;モサフェルのローブ&br;防85/魔防65&br;カーマインブリックシティ裁縫屋&br;90000G|モサフェルの腰布&br;防6/魔防6&br;カーマインブリックシティ裁縫屋&br;20000G|||
}}}

//編集用テンプレ
//|LV|頭部&アクセ|顔&アクセ|胸部|右手|左手|上半身|下半身|靴|ソックス|
//非売品
//&color(blue){非売品};
//制限
//%br;&color(red){長ズボン系×};
//武器
//&br;叩10/斬10/突10&br;ギルド商人&br;10000G
//防具
//&br;防10/魔防10&br;ギルド商人&br;10000G
//盾
//  /近回避10/遠回避10/魔回避10
