# Skill/Commando/Table

#author("2017-02-25T09:35:24+00:00","","")
-型：アクティブスキル＝''&color(red){A};''、パッシブスキル＝''&color(blue){P};''
-評価
--上位互換スキルがある場合は習得Lv近辺で評価
☆:必須クラス
◎:取得推奨
○:あると便利
△:限定状況でのみ役に立つ
×:全く役に立たない
-[[無限回廊（奈落階層）>Dungeon/InfiniteCorridorAbyss]]でのスキル評価はこちら→''[[無限回廊奈落でのスキル考察 #コマンド>Dungeon/InfiniteCorridorAbyssSkill#u4ef996e]]''

RIGHT:&edit(,noicon){スキル早見表を編集};
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~Job&br;Lv|~名称|~Max&br;Lv|~型|~対象|~射程|~消費MP/SP|~装備条件|~憑依使用|~効果|~評価|~備考|h
|~21|[[コンビネーション>../Explanation#tre10]]|5|''&color(red){A};''|敵単体|1|MP - &br; SP 22/31/40/49/58|無し|不可|習得しているスキル『足払い』『[[サマーソルトキック>Skill/Scout/Explanation#d892d8ff]]』『タックル』を連続で発動する。&br;体術スキル。|△|色々と使い辛い|
|~23|[[フラッシュグレネード>../Explanation#tre11]]|3|''&color(red){A};''|地面範囲|5|MP - &br; SP 3/6/9|無し|可|激しい光を放つ手榴弾を投げ付け範囲内の対象の動きを止める。&br;専用のアイテム『[[グレネード弾>http://eco.acronia.net/itemdb/#id=845]]』が必要。|○|範囲内に必中のスタン判定。スタン成功率は意外と高い。|
|~25|[[チョーキングガス>../Explanation#tre12]]|5|''&color(red){A};''|地面範囲|自分中心|MP - &br; SP 4/5/6/7/8|無し|可|沈黙のガスを出す罠を設置してその位置に立った敵を一定時間沈黙状態にする。&br;専用のアイテム『[[チョーキングガス>http://eco.acronia.net/itemdb/#id=1545]]』が必要。|△|必中の沈黙判定。触媒の容量が大きい為多用はできない|
|~27|[[スライディング>../Explanation#tre13]]|5|''&color(red){A};''|地面指定、又は 敵単体|4+&br;SkillLv|MP - &br; SP 16/20/24/28/32|無し|不可|(4+SkillLv)ヘックス分高速移動し移動経路にいた対象にダメージを与える。|○|奇数偶数Lvで使用感が違う。緊急退避やSA時の瞬発移動用に使おう。|
|~30|[[クレイモアトラップ>../Explanation#tre14]]|3|''&color(red){A};''|地面範囲|自分中心|MP - &br; SP 5/10/15|無し|可|7×7の範囲の地面に爆弾をしかける。&br;対象が踏むと1.5秒後に爆発する。|◎|少し手間はかかるが広範囲の攻撃スキル。&br;12/8/23のアップデートにて触媒が『トラップツール』に変更|
|~32|[[アッパーカット>../Explanation#tre15]]|5|''&color(red){A};''|敵単体|1|MP - &br; SP 12/16/20/24/28|無し|可|拳で相手を弾き飛ばし一定確率でスタン状態にする。&br;体術スキル。|○→◎|高威力かつスタン付与で、銃・投擲でも使える。|
|~34|[[つむじ風>../Explanation#tre16]]|5|''&color(red){A};''|自分周囲|1|MP - &br; SP 10/16/22/28/34|爪|可|つむじ風を起こし自分の周囲を攻撃する。|○|触媒消費なしの周囲攻撃|
|~36|[[セットボム>../Explanation#tre17]]|5|''&color(red){A};''|敵単体|1|MP - &br; SP 7/9/11/13/15|無し|可|対象に爆弾を設置し数秒後に爆破させる。&br;専用のアイテム『トラップツール』が必要。|○|1確狩りには向かないが威力は高い。三次職において『ヴェノムブラスト』の威力を強化する|
|~38|[[リカバリーブロック>../Explanation#tre18]]|3|''&color(red){A};''|敵単体|1|MP - &br; SP 18/28/38|無し|可|秘孔を突いて対象をHP、MP、SP回復不能状態にする。&br;ボスモンスターには無効。|△|演習用|
|~42|[[応援要請>../Explanation#tre19]]|3|''&color(red){A};''|敵単体|5|MP - &br; SP 20/20/30|無し|不可|仲間のコマンドを1人(LV3では2人)呼び寄せる。&br;専用のアイテム『[[信号弾>http://eco.acronia.net/itemdb/#id=1277]]』が必要。|？|火力としては期待できないが、ソリッドオーラを剥がすのに使える。|
|~43|[[デッドリーアタック>../Explanation#tre20]]|3|''&color(red){A};''|敵単体|1|MP - &br; SP 22/30/38|一般武器|可|対象の丹田を貫く一撃を与える。&br;稀に硬直させる。|○|硬直なのでボス・自然物以外に有効。攻撃の痛いMOBと戦う時に使える|
|~45|[[ラッシュボム>../Explanation#tre21]]|5|''&color(red){A};''|敵単体|1|MP - &br; SP 20/22/24/26/28|無し|可|対象に爆弾を2個設置し数秒後に爆破させる。&br;専用アイテム『トラップツール』が必要。|○|２連セットボム。単発威力は若干落ちたが総威力はセットボムを上回る。|
|~50|[[ワイルドダンス>../Explanation#tre22]]|5|''&color(red){A};''|敵単体|1|MP - &br; SP 29/33/37/41/45|無し|不可|対象に連続攻撃を叩き込む。|○|モーションが非常に長いが威力も相応に高い。VIT型向け。|
