# Skill/Wotes/Map

#author("2016-04-30T19:39:20+00:00","","")
**レベル別お勧め狩場・クエスト [#w34453ce]

以下の狩場情報は経験値効率やスキル修正前のデータです。
比較的新しい情報は[[狩場>kariba#b9a4565c]]を参照してください。

-下記はMAG>VIT型ステータスでの狩場です。またステータスの振り方などにより合ったり合わなかったりします。
-JobLv50での転職を前提としています。

-ウァテスはCOLOR(red){支援職}としてとても優れているので、パーティで重宝されます。
-ソロでは辛い狩場でもパーティなら楽なので、積極的にパーティに参加すると良いでしょう。
-ソロで狩場を選ぶときは、他のスペルユーザー系職業の5～10レベル下のマップを選ぶと楽でしょう。

//SAGA14
|~レベル|~マップ|~モンスター|~EXP/JOB|~クエスト|~備考|h
|~21～|南ウテナ開拓地|フリッカーテイル&br;ポットスネーキー|82/94&br;64/72||[[どんぐり>http://eco.acronia.net/itemdb/#id=1732]]、[[くるみ>http://eco.acronia.net/itemdb/#id=841]]を集める。（[[収集好きの大商人>Event/Nheartful#step7]]）&br;同じ種類だけ倒していると数が減るのが難点。|
|~|大陸の洞窟||||パーティー限定。&br;レベル30前後からパーティーを募集したり参加して、支援の仕方を覚えると良い。&br;リザレクション取得までは[[リザレクションポーション>http://eco.acronia.net/itemdb/#id=2702]]を持っていくようにする。|
|~26～|南ウテナ開拓地|シャボタン&br;イワンコフ|137/156&br;133/127|[[開拓村のクエスト>Quest/ReclaimedVillage#ofc14072]]|[[シャボタンの花>http://eco.acronia.net/itemdb/#id=1151]]、[[岩の心臓>http://eco.acronia.net/itemdb/#id=236]]を集める。|
|~|東アクロニア段丘|ステロペス|286/322|~|HL5で倒せる。|
|~29～|永遠への北限|プルーン&br;使い魔&br;ダークフェザー|245/255&br;220/200&br;280/340||アクティブモンスターが多いため位置取りに注意して1対1を心がけること。&br;魔法を使うモンスターが増えてくるので、[[防御属性>Elements]]を意識すると良い。&br;[[ゴスペル>http://eco.acronia.net/equipdb/#id=245]][[ローブ>http://eco.acronia.net/equipdb/#id=376]]+[[天使のブローチ>http://eco.acronia.net/equipdb/#id=131]]で光属性値が+15になる。|
|~|アンデッド城|レッサーゴースト&br;レッサースペクター|1010/800&br;1060/750|[[紋章紙の入手>Quest/Pub_Pick]](酒屋Lv29～)|ゴーストの詠唱反応とルブナンのリンクに気をつけること。&br;楽に倒せるとは決して言えないが、[[紋章紙>http://eco.acronia.net/itemdb/#id=2607]]が手に入る。|
|~36～|東アクロニア段丘|ヤドスルージュ|274/244||[[ルージュの巻貝>http://eco.acronia.net/itemdb/#id=2721]]を集める。|
//|~39～|アイアンサウス街道|シナモン|308/295|[[シナモン缶収集>Quest/Pub_Pick]](酒屋Lv44～)|HL5→HL5以下で倒す。&br;VITが30程度あると安定する。&br;「[[収集好きの大商人>Event/Nheartful#step7]]」と「[[デルタサーガ第10、11話連動イベント>Event/DeltaSaga]]」で材料を集めて[[飛空庭>FlyGarden]]を入手しておくと良い。|
|~39～|サウスダンジョンB1F|スペルキャスター|760/683|[[上等なマジックキャンディーの入手>Quest/Pub_Pick]]&br;(酒屋Lv49～)|マップ右上のところで狩る。&br;ブロックスやキメラには近寄らないこと。|
|~|鬼ノ寝床岩|ギーゴ|374/336|[[騒音減少ギーゴ退治>Quest/IronSouth#iac7c0b4]]&br;(アイアンシティ下層階/大工場Lv39～)|パーティー限定。|
|~45～|光の塔下層(4F外周左上)|オニックス|2105/2253||HL5→HL1で狩れる。職服装備で光属性を上げて行くといい。&br;少々威力が足りないようなら、ホーリーウエポンなども試してみよう。&br;[[半額イベント>Quest/Morg#aa387047]]はこの時点では難しそう。|
|~50～|イーストダンジョン1F|スタートラー|1700/1575|[[スタートラー討伐>Quest/Pub_Punitive]](酒屋Lv54～)&br;[[頑丈な布の入手>Quest/Pub_Pick]](酒屋Lv54～)|ホーリーグローブの練習に最適。&br;隣のセルに立ってグローブを撃てばダメージを抑えられる。&br;スタートラーは背中を見せると襲ってくるので2匹以上いるときは注意。|
|~54～|アンデッドの城&br;(訓練所1F/2F/法務官の間)|ルブナン|1700/1900||難易度は1Fよりも2Fの方が高い。&br;コンフュージョンレジストが必須。&br;TU5で2確になるMATKを確保したら残りはVITに多く振る。&br;ルブナンがリンクすると倒せないので、1匹だけ離れているものをねらう。&br;入口付近で狩ればリンクしたときに逃げやすい。|
|~59～|光の塔下層(4F北東)|プラチナム|4930/5101||魔法がけっこう痛いので注意。&br;セルが斜めなのでやりにくいかも。|
|~|光の塔周辺(北西)|~|~|~|光の塔下層4Fよりも広く、ヘルダイバーもいるので良い。|
|~|アンデッドの城(小ホール)|アヴェンジャー&br;ドミニオン・アニムス|5600/5600&br;5860/6000||アヴェンジャーは1確、アニムスは2確できないと厳しい。&br;モンスターの密度が高いので巻き込まないように注意。&br;ディフィートカースの仕様変更で敷居が下がったかも。|
|~|アンデッドの城(謁見の間)|ドミニオン・アニムス&br;ドミニオン・マリシャス|5860/6000&br;6300/5760|||
|~|アンデッドの城(聖者の間)|~|~|~|紋章紙が必要。デスケイトはデクライズウェポンを受けてホーリーグローブで攻撃する。|
|~|アンデッドの城(礼拝堂3F)|~|~|~|オブシディアンの魔法の連射に注意。|
|~64～|フシギ団の砦(北部)|||[[中立のシマを我らの手に>Quest/Fareast#z0b13449]]&br;[[フシギ団VSパイレーツ>Quest/Fareast#z0b13449]]&br;(フシギ団本部Lv64～)|クエストはパーティーを募集すると良い。|
|~69～|バオバブの森|シャインビー&br;トロピカルギーゴ&br;エスカルゴ|3350/3500&br;3860/3450&br;3450/3600|[[強力磁石の入手>Quest/Pub_Pick]](酒屋Lv69～)&br;[[狩バチに注意>Quest/Pub_Punitive]](酒屋Lv74～)|ポイズン、コンフュージョンレジスト推奨。&br;シャインビーにコガネグモがリンクするので注意。|
|~79～|海底洞窟(暖流)|ハーミットクラブ&br;シードラゴン|6665/6392&br;7606/7690|[[海底の隠者>Quest/Pub_Punitive]](酒屋Lv79～)|詠唱反応のエレメンタルに注意。&br;ハーミットクラブの数が少ないので寒流のほうが狩り易い。|
|~|海底洞窟(寒流)|コンク&br;シーホース|7375/8110&br;9210/7539|[[海底の槍兵>Quest/Pub_Punitive]](酒屋84～)|スリープレジスト推奨。アクティブに注意。&br;暖流よりもモンスターは強いが、コンクの数が多いため狩り易い。|
|~90～|忘却の庭園(庭園探索)|||[[ディメンション硬石の入手>Quest/Pub_Pick]](酒屋90～)&br;[[ディメンション氷石の入手>Quest/Pub_Pick]](酒屋99～)|8人パーティーで時給は8Mくらい。&br;ミノタウロスの被ダメージがやや大きいのでサンバを切らさないようにする。&br;MAG型ならデッドマーチでそこそこダメージを与えられる。|
|~100～|ディメンション氷結の坑道|||[[ディメンション水晶の入手>Quest/Pub_Pick]](酒屋102～)&br;[[ディメンション琥珀の入手>Quest/Pub_Pick]](酒屋105～)|8人パーティーで時給は30～40Mくらい。&br;経験値が1.5倍(時給は90～120M)になるプライベートダンジョン(PD)がお奨め。&br;&br;基本はB2Fで数十匹のMOBを集め、パーティーメンバーが敵を一掃するまで、常時サンバを掛け、セイクリッドエンブレイスで回復、ラウズボディや羽、オラトリオの補助のかけ直し、デッドマーチの状態異常攻撃などをする。&br;ライズ、弱点魔法が飛び交い大ダメージが頻発し、ドルが死ぬとそのまま全滅する可能性があるため、左M.DEFは+15以上の憑依装備、ディバインバリアの+25込みで上限の90を確保したいところ。&br;Lv100のステータス例(残りは詠唱速度優先ならDEX、回復力優先ならMAGに多めに割り当てる)&br;ドルイド INT55 VIT96 (HP2632 DEF50 M.DEF50)&br;バード INT55 VIT97 (HP3022 DEF50 M.DEF50)|
|~100～|カーマインブリック遺跡B1F|ガイコツムリ&br;スケルトンスナイパー&br;サイクロプスグール&br;ドラゴングール|||ついに出たウァテス系がソロ狩りできる最上位級狩場。&br;1Fからの階段を降りてすぐの場所は闇属性の死霊系モンスターしか湧かず、デクライズウエポンを使ってくるMOBもいないため、光属性攻撃だけでも楽々狩ることができる。&br;攻撃スキルは、レクイエム＋エンジェルリング（orスパーナルレイ）があれば十分。&br;竜眼解放やアンデッドダメージ上昇、ディバインブレーカーがあるとなお良い。|
