# 職クエ/レンジャー

|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~44-110|-|''[[ダークフェザーの羽>http://eco.acronia.net/itemdb/#id=1425]]''の入手|900分|2個|42,600/42,600&br;10,800G|ダークフェザー&br;コッカラス&br;バルチャー&br;2015/10/17確認|
|~|-|''[[クチバシ>http://eco.acronia.net/itemdb/#id=811]]''を集めています|~|1個|~|ギーゴ&br;ナイトストーク&br;2015/10/17確認|
|~49-110|-|''[[ベルベット>http://eco.acronia.net/itemdb/#id=2306]]''で服を作りたい！|900分|1個|51,000/51,000&br;12,000G|ブラックベア&br;ダークベア&br;最強の魔獣&br;ウメボア&br;2015/11/17確認|
|~|-|''[[キメラのとさか>http://eco.acronia.net/itemdb/#id=727]]''を集めています|~|1個|~|キメラ系&br;2015/11/17確認|
|~54-110|-|''[[高級卵>http://eco.acronia.net/itemdb/#id=933]]''の入手|900分|5個|61,569/61,569&br;13,200G|コッカラス&br;ナイトストーク&br;2015/11/24確認|
|~|-|革にシミが！！！２&br;(''[[革補修キット・シルバー>http://eco.acronia.net/itemdb/#id=613]]'')|~|1個|61,569/61,569&br;30,000G|革製品補修キット作成&br;2015/11/30確認|
|~59-110|-|''[[ソーダ灰>http://eco.acronia.net/itemdb/#id=1417]]''の入手|900分|2個|79,728/79,728&br;14,400G|コランダム&br;重い岩|
|~64-110|-|金色に輝く牙の入手&br;(''[[金色の牙>http://eco.acronia.net/itemdb/#id=762]]'')|900分|2個|90,729/90,729&br;15,600G|ヘビーバット&br;2013/8/22要求数変更|
|~69-110|-|''[[異界の羽>http://eco.acronia.net/itemdb/#id=161]]''の入手|900分|10枚|101,601/101,601&br;16,800G|エンジェルボア&br;ハーピー&br;トロピカルギーゴ&br;シードラゴン&br;スイムフィッシュ|
|~74-110|-|''[[カラフルな羽>http://eco.acronia.net/itemdb/#id=599]]''で求愛ダンスを|900分|3枚|108,243/108,243&br;18,000G|トロピカルギーゴ|
|~79-110|-|革にシミが！！！３&br;(''[[革補修キット・ゴールド>http://eco.acronia.net/itemdb/#id=612]]'')|900分|1個|120,546/120,546&br;43,200G|革製品補修キット作成|
|~|-|''[[バルルの革切れ>http://eco.acronia.net/itemdb/#id=1985]]''を探せ！|~|3枚|120,546/120,546&br;19,200G|バルル&br;|
|~84-110|-|''[[蜘蛛の白ワイン>http://eco.acronia.net/itemdb/#id=816]]''を入手せよ！|900分|3個|138,615/138,615&br;20,400G|コガネグモ&br;コンク|
|~|-|''[[魚のウロコ>http://eco.acronia.net/itemdb/#id=1050]]''を入手せよ！|~|3枚|152,478/152,478&br;20,400G|シーホース&br;エンジェルフィッシュ&br;金のインスマウス|
|~84-110|-|妖艶なる粉&br;（''[[耀く燐粉>http://eco.acronia.net/itemdb/#id=529]]''）|900分|2個|160,983/160,983&br;21,600G|レンジャー系限定の''[[酒屋クエスト>Quest/Pub_Pick#p84]]''|
|~|-|悪夢&br;（''[[悪夢喰らいのまくら>http://eco.acronia.net/itemdb/#id=65]]''）|~|3個|~|レンジャー系限定の''[[酒屋クエスト>Quest/Pub_Pick#p84]]''&br;エイジドバクバク|
[[釣りクエスト>Quest/Fishing]]にもバックパッカー専用クエストがある。

**レンジャー情報提供フォーム [#rd6ae4ab]
COLOR(red):コメント欄はゲーム内容を質問する場ではありません。質問等は[[こちら>Tutorial#rdccae80]]にどうぞ。~
#pcomment(コメント/職クエ/レンジャー,10)
