# MotenasiTinyOld

*もてなしタイニー過去データ [#MotenasiOld]
#contents

←[[もてなしタイニーに戻る>MotenasiTiny]]

**2013/08/22以前の毎日もらえるアイテム一覧 [#v183747d]
|~品名|~備考|~最終報告日|~リサイクル(不可/P)|~ワールドゲージ|
|&color(blue){●};∴ヘアカラー・チェリーレッド|（ロック済）|2010/10/23|10||
|&color(blue){●};∴ヘアカラー・ジェードパープル|（ロック済）|2010/10/23|10||
|&color(blue){●};∴ヘアカラー・グリーン|（ロック済）|2010/11/08|10||
|&color(blue){●};∴ヘアカラー・ライトグリーン|（ロック済）|2010/10/24|10|10|
|&color(blue){●};∴ヘアカラー・モイストシルバー|（ロック済）|2010/10/21|10||
|&color(blue){●};∴ヘアカラー・シルバー|（ロック済）|2010/10/22|10|10|
|&color(blue){●};∴ヘアカラー・ダルグレー|（ロック済）|2010/10/23|10||
|&color(blue){●};∴ヘアカラー・マットブラック|（ロック済）|2010/10/23|10||
|&color(blue){●};∴ヘアカラー・エミルカラーミドル|（ロック済）|2010/10/26|10|10|
|&color(blue){●};∴ヘアカラー・エミルカラーライト|（ロック済）|(2012/02/25)|10||
|&color(blue){●};∴ヘアカラー・エミルカラーヘビー|（ロック済）|2012/07/12|10|10|
|&color(blue){●};∴ヘアカラー・タイタニアカラーミドル|（ロック済）|2012/07/05|10|10|
|&color(blue){●};∴ヘアカラー・タイタニアカラーライト|（ロック済）|2010/10/22|10||
|&color(blue){●};∴ヘアカラー・タイタニアカラーヘビー|（ロック済）|(2012/02/24)|10||
|&color(blue){●};∴ヘアカラー・ドミニオンカラーミドル|（ロック済）|2010/10/25|10||
|&color(blue){●};∴ヘアカラー・ドミニオンカラーライト|（ロック済）|2010/10/25|10||
|&color(blue){●};∴ヘアカラー・ドミニオンカラーヘビー|（ロック済）|2012/07/20|10|10|
|&color(blue){●};∴ヘアカラー・スプリング|（ロック済）|2010/10/22|10||
|&color(blue){●};∴ヘアカラー・サマー|（ロック済）|2010/10/21|10||
|&color(blue){●};∴ヘアカラー・オータム|（ロック済）|2013/03/11|10|10|
|&color(blue){●};∴ヘアカラー・ウィンター|（ロック済）|2010/11/07|10||
|&color(blue){●};∴ヘアカラー・セラミックホワイト|（ロック済）|2010/10/22|10||
|&color(blue){●};∴ヘアカラー・ライトバイオレット|（ロック済）|2010/10/22|10||
|&color(blue){●};∴ヘアカラー・ダークブルー|（ロック済）|2010/10/22|10||
|&color(blue){●};∴ヘアカラー・ペールゴールド|（ロック済）|2010/10/21|10||
|&color(blue){●};∴ヘアカラー・メタリックピンク|（ロック済）|2010/10/25|10|10|
|&color(blue){●};∴ヘアカラー・キャンディーイエロー|（ロック済）|2010/11/09|10||
|スキル石・大きなやしの木||2010/10/21|1||
|スキル石・スイカ玉||2010/10/21|1||
|スキル札・グラヴィティ||2012/07/28|1|1|
|スキル札・クローキング||2010/10/22|1||
|スキル札・殺界||2010/10/21|1||
|スキル札・ソリッドオーラ||2010/10/21|1||
|スキル札・ファイアウォール||2010/10/21|1||
|スキル札・ホーリーフェザー||2010/10/21|1||
|スキル札・モンスタースケッチ||2010/10/22|1||
|スキル札・リフレクション||2010/10/22|1||
|伝説の召喚魔法カード（イケメン傭兵）||2010/10/21|1||
|伝説の召喚魔法カード（ECO坊）||2010/10/21|1||
|伝説の召喚魔法カード（忍びの者）||2010/10/22|1||
|伝説の召喚魔法カード（伝説のちょうちょ）||2010/10/21|1||
|伝説の召喚魔法カード（伝説のピンクモーモー）||2013/03/11|1|1|
|伝説の召喚魔法カード（冬将軍）||2010/10/21|1||
|伝説の召喚魔法カード（マリオネット・ダークホムラ）||2010/10/24|1||
|伝説の召喚魔法カード（マリオネット･ブラフスキー）||2010/10/23|1||
|[[超でかでかカード>http://eco.acronia.net/itemdb/#id=1543]]||2010/10/21|1||
|[[超ちびちびカード>http://eco.acronia.net/itemdb/#id=1541]]||2010/10/21|1||
|[[でかでかカード>http://eco.acronia.net/itemdb/#id=1587]]||2013/03/11|1|1|
|[[ちびちびカード>http://eco.acronia.net/itemdb/#id=1527]]||2010/10/22|1||
//|&color(red){●};&color(#a0a0a0){スーパーベジスティック};|（課金マーク付）|2010/10/22|||
|&color(red){●};超スーパーベジスティック|（課金マーク付）|2010/10/22|2|10|
|&color(red){●};よみがえーる|（課金マーク付）|2010/10/22|不可||
|&color(red){●};みなぎる体力|（課金マーク付）|2010/10/21|不可||
|&color(red){●};みなぎる気力|（課金マーク付）|2010/10/21|不可||
|&color(red){●};みなぎる魔力|（課金マーク付）|2010/10/22|不可||
|&color(red){●};タイニーの秘伝収納術|（課金マーク付）|2010/10/22|不可||
|&color(red){●};プライベートダンジョンつくーるの箱|（課金マーク付）|2010/10/24|不可||
|&color(red){●};ワープできーる鍵E|（課金マーク付）|2010/10/24|不可||
//|&color(red){●};&color(#a0a0a0){すっごく大声マシーン};|（課金マーク付）|2010/10/26|||
|[[愛情たっぷりねこまんま>http://eco.acronia.net/itemdb/#id=15]]||2010/10/22|1||
|[[秋の風流七輪焼き>http://eco.acronia.net/itemdb/#id=62]]||2013/03/11|1|1|
|[[あったかコタツ>http://eco.acronia.net/itemdb/#id=89]]||2013/03/11|1|1|
|[[癒しのはと時計>http://eco.acronia.net/itemdb/#id=226]]||2013/03/11|1|1|
|[[お母さんのお弁当>http://eco.acronia.net/itemdb/#id=378]]||2013/03/11|1|1|
|[[温泉の素>http://eco.acronia.net/itemdb/#id=473]]||2010/10/21|1||
|回復ECOせんべい||2010/10/22|1|10|
|回復ECOハニー||2013/03/11|1|10|
|[[回復ECOラーメン>http://eco.acronia.net/itemdb/#id=514]]||2013/03/11|10|10|
|[[キャンプファイアー>http://eco.acronia.net/itemdb/#id=736]]||2012/07/10|0|1|
|[[さくらふぶき>http://eco.acronia.net/itemdb/#id=1065]]||2010/10/22|0||
|[[幸せの白いハト>http://eco.acronia.net/itemdb/#id=1106]]||2013/03/11|1|1|
|[[ジャック・オ・ランタン>http://eco.acronia.net/itemdb/#id=1149]]||2010/10/21|1||
|[[祝福のファンファーレ>http://eco.acronia.net/itemdb/#id=1177]]||2012/07/17|1|1|
|[[人生の攻略本>http://eco.acronia.net/itemdb/#id=1287]]||2013/03/11|1|1|
|[[ストリートライブセット>http://eco.acronia.net/itemdb/#id=1358]]||2012/07/23|1|1|
|[[タイニーエンジェル>http://eco.acronia.net/itemdb/#id=1442]]||2012/07/03|1|1|
|[[誰でもテント>http://eco.acronia.net/itemdb/#id=1495]]||2012/07/04|0|1|
|[[チェス駒>http://eco.acronia.net/itemdb/#id=1512]]||2012/09/05|1|1|
|[[流れ星キラキラ>http://eco.acronia.net/itemdb/#id=1737]]||2012/07/21|1|1|
|[[にこにこピクニックランチ>http://eco.acronia.net/itemdb/#id=1785]]||2013/03/11|1|1|
|[[ハートイルミネーション>http://eco.acronia.net/itemdb/#id=1893]]||2010/10/22|1||
|[[ハートフル招き猫>http://eco.acronia.net/itemdb/#id=1906]]||2013/03/11|1|1|
|[[バーベキューセット>http://eco.acronia.net/itemdb/#id=1911]]||2012/07/02|0|1|
|[[バット・イリュージョン>http://eco.acronia.net/itemdb/#id=1958]]||2010/10/23|1||
|[[ハッピーケーキ>http://eco.acronia.net/itemdb/#id=1959]]||2013/03/11|1|1|
|バリスタ||2013/03/11|1|1|
|[[日差しの缶詰>http://eco.acronia.net/itemdb/#id=2059]]||2013/03/11|1|1|
|[[フシギなマッチ>http://eco.acronia.net/itemdb/#id=2150]]||2010/10/22|91|10|
|[[骨つき肉>http://eco.acronia.net/itemdb/#id=2353]]||2012/08/13|1|1|
|[[やつあたりかかし>http://eco.acronia.net/itemdb/#id=2626]]||2010/10/21|1||
|[[柳の下の幽霊>http://eco.acronia.net/itemdb/#id=2630]]||2012/08/17|1|1|
|[[ＥＣＯメダル>http://eco.acronia.net/itemdb/#id=288]]||2012/03/14|不可||
|&color(red){●};大きい野菜の種（しましま）の箱|（課金マーク付）&br;開封後は通常アイテム×3個|2012/06/30|不可&br;開封後は1×3個|不可&br;開封後は1×3個|
|&color(red){●};大きい野菜の種（とげとげ）の箱|~|2012/07/02|~|~|
|&color(red){●};大きい野菜の種（つやつや）の箱|~|2012/07/09|~|~|
|&color(red){●};大きい果物の種（しましま）の箱|~|2012/09/01|~|~|
|&color(red){●};大きい果物の種（とげとげ）の箱|~|2012/08/21|~|~|
|&color(red){●};大きい果物の種（つやつや）の箱|~|2012/08/18|~|~|
|&color(red){●};大きい穀物の種（しましま）の箱|~|2012/07/04|~|~|
|&color(red){●};大きい穀物の種（とげとげ）の箱|~|2012/06/29|~|~|
|&color(red){●};大きい穀物の種（つやつや）の箱|~|2012/07/15|~|~|

**2013/08/22～2014/03/27の毎日もらえるアイテム一覧 [#x91ecc3b]
-抽選確率はA賞＜B賞＜C賞＜D賞＜E賞。各賞内でのアイテムの確率は均等ではない。
|~　|~品名|~備考|~リサイクル(不可/P)|~ワールドゲージ|
|CENTER:|LEFT:|CENTER:|CENTER:|CENTER:|c
|A&br;賞|ＥＣＯメダル||不可||
|~|&color(red){●};クエストポイントプラス|（課金マーク付）|||
|~|&color(red){●};プライベートダンジョンつくーるの箱|（課金マーク付）|不可||
|~|&color(blue){●};∴ヘアカラー・スプリング|（ロック済）|10||
|~|&color(blue){●};∴ヘアカラー・サマー|（ロック済）|10||
|~|&color(blue){●};∴ヘアカラー・オータム|（ロック済）|10|10|
|~|&color(blue){●};∴ヘアカラー・ウィンター|（ロック済）|10||
|~|&color(blue){●};∴ヘアカラー・ペールゴールド|（ロック済）|10||
|~|&color(blue){●};∴ヘアカラー・メタリックピンク|（ロック済）|10|10|
||||||
|B&br;賞|&color(red){●};経験値ふえーる５０|（課金マーク付）|||
|~|&color(red){●};職業経験値ふえーる５０|（課金マーク付）|||
|~|&color(red){●};アイテムドロップふえーる|（課金マーク付）|||
|~|&color(red){●};超スーパーベジスティック|（課金マーク付）|2|10|
|~|&color(red){●};ＥＰふえーる１００|（課金マーク付）|||
|~|&color(red){●};タイニーの秘伝収納術|（課金マーク付）|不可||
|~|&color(red){●};早口ポーション|（課金マーク付）|||
|~|&color(red){●};みなぎる体力|（課金マーク付）|不可||
|~|&color(red){●};みなぎる魔力|（課金マーク付）|不可||
|~|&color(red){●};みなぎる気力|（課金マーク付）|不可||
|~|&color(red){●};ワープできーる鍵E|（課金マーク付）|不可||
|~|&color(red){●};よみがえーる|（課金マーク付）|不可||
||||||
|C&br;賞|[[愛情たっぷりねこまんま>http://eco.acronia.net/itemdb/#id=15]]||1||
|~|[[やつあたりかかし>http://eco.acronia.net/itemdb/#id=2626]]||1||
|~|伝説の召喚魔法カード（冬将軍）||1||
|~|伝説の召喚魔法カード（伝説のピンクモーモー）||1|1|
|~|スキル札・ホーリーフェザー||1||
|~|スキル札・殺界||1||
|~|[[フシギなマッチ>http://eco.acronia.net/itemdb/#id=2150]]||91|10|
|~|[[バット・イリュージョン>http://eco.acronia.net/itemdb/#id=1958]]||1||
||||||
|D&br;賞|いのちの結晶||||
|~|力の結晶||||
|~|魔力の結晶||||
|~|クリティカルの結晶||||
|~|リザレクションサプリ||||
|~|[[濃縮マジスタポーション>http://eco.acronia.net/itemdb/#id=1880]]||0|1|
|~|[[濃縮マジックポーション>http://eco.acronia.net/itemdb/#id=1881]]||0|1|
|~|[[濃縮スタミナポーション>http://eco.acronia.net/itemdb/#id=1879]]||0||
||||||
|E&br;賞|&color(red){●};大きい野菜の種（しましま）の箱|（課金マーク付）&br;開封後は通常アイテム×3個|不可&br;開封後は1×3個|不可&br;開封後は1×3個|
|~|&color(red){●};大きい野菜の種（とげとげ）の箱|~|~|~|
|~|&color(red){●};大きい野菜の種（つやつや）の箱|~|~|~|
|~|&color(red){●};大きい果物の種（しましま）の箱|~|~|~|
|~|&color(red){●};大きい果物の種（とげとげ）の箱|~|~|~|
|~|&color(red){●};大きい果物の種（つやつや）の箱|~|~|~|
|~|&color(red){●};大きい穀物の種（しましま）の箱|~|~|~|
|~|&color(red){●};大きい穀物の種（とげとげ）の箱|~|~|~|
|~|&color(red){●};大きい穀物の種（つやつや）の箱|~|~|~|
|~|ワーム|10個|1×10個|1×10個|
|~|フライ|10個|~|~|
|~|レアー|10個|~|~|
|~|[[温泉の素>http://eco.acronia.net/itemdb/#id=473]]||1|1|
|~|時空の鍵||||

#pcomment(コメント/MotenasiTinyDailyOld)
