# MobWaterLayer

#author("2017-04-07T17:37:40+00:00","","")
*モンスター（ウォーターレイアー） [#WaterLayer]

#contents
#include(MobMenu,notitle)
-ドロップ品凡例
--&color(orange){オレンジ色};：知識があると出やすいもの
--&color(red){赤色};：知識が無ければ出ないもの
--&color(slateblue){紫色};：極めて稀なもの
--&color(#cccccc){灰色};：未確定のもの（情報待ち保留中です）

//***動物系 [#Animal]
//|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
//|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
//|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c

***鳥系 [#Bird]
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/cthulhuzero.JPG,nolink,100x100);|クルウルウ・ゼロ|90|&color(gray){125,000?};|24,000/34,000|BGCOLOR(#bbffff):水|Active|海底洞窟(寒流)|カッパーメダル&br;シルバーメダル&br;ゴールドメダル&br;アクアマリン|クロスリバー&br;ウォーターファング&br;ウォーターバーン&br;氷化ガス|BOSS&br;出現時にディープマスを取り巻きとして召喚&br;取り巻き全滅で再召喚|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/cthulhulava.jpg,nolink,100x100);|クルウルウ・ラヴァ|100||48,000/24,000|BGCOLOR(#bbffff):水|Active|海底洞窟(暖流)|カッパーメダル&br;シルバーメダル&br;ゴールドメダル&br;ハートルビー|バードケージ&br;バーンファング&br;バーニングロード&br;クロスファイア&br;猛毒針?|BOSS&br;出現時にディープマスを取り巻きとして召喚&br;取り巻き全滅で再召喚|

***魔法生物系 [#Magic]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Elemental.jpg,nolink,100x100);|エレメンタル|84|%%69,160%%&br;29,160|%%7,908/6,300%%&br;16,678/12,050|BGCOLOR(#bbffff):水|詠唱反応|【海底洞窟(暖流)】|聖者の涙&br;ミネラルウォーター&br;ケセランパサラン&br;&color(red){ドクロ};&br;&color(red){水晶のかけら};&br;&color(red){水晶};|ミラー&br;クロスリバー&br;アクアウェーブ&br;スプラッシュ|接地しているがトラップ無効&br;HPが減ると、プレイヤー未発見でも10秒ごとにアクアウェーブ使用|

//***精霊系 [#Spirit]
//|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
//|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
//|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c

//***人間系 [#Human]
//|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER://|CENTER:|c
//|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
//|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c

//***死霊系 [#Ghost]
//|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
//|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
//|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c

//***機械系 [#Machine]
//|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
//|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
//|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c

***岩系 [#Rock]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Ma-re.jpg,nolink,100x100);|マーレ|36|1,200|1,025/900|BGCOLOR(#bbffff):水|特殊詠唱反応|ウォーターレイアー|水の召喚石&br;流氷詰めの缶&br;不思議な水晶&br;&color(red){青い結晶1};&br;&color(red){オリハルコン};|アクアストーム&br;アイスフェード&br;ウォータアタック|自分へのスキル使用を察知すると反応|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/StoneTurtle.jpg,nolink,100x100);|ストーンタートル|40|5,000|2,183/2,208|BGCOLOR(#bbffff):''水''/土|NonActive|ウォーターレイアー|青汁&br;カビ&br;カメの甲羅&br;&color(red){四つ葉のクローバー};&br;&color(red){カメの甲羅リュック(白)};|グラヴィティフォール&br;チャージ&br;アースストーム&br;ソリッドオーラ|火属性攻撃が有効&br;高DEF|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/noguddoachine.jpg,nolink,100x100);|ノグッドアーチン|73|100|%%98/112%%&br;172/196|BGCOLOR(#bbffff):水|詠唱反応|海底洞窟(暖流)&br;海底洞窟(寒流)|アーチン印のミソ&br;キャビア&br;黒キャビア|スピードダウン&br;ゴゥアウト&br;ファイアウェポン&br;アースライズ||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/cristalt.jpg,nolink,100x100);|クリスタルタートル|92|%%56,000%%&br;46,000|%%8,846/8,580%%&br;20,961/20,030|BGCOLOR(#bbffff):水|詠唱反応|海底洞窟(寒流)|青汁&br;カビ&br;カメの甲羅&br;&color(red){四葉のクローバー};&br;&color(red){亀の甲羅リュック(白)};|クロスリバー&br;アースライズ&br;リフレクションウォール&br;ソリッドオーラ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/IshiGameSama.jpg,nolink,100x100);|石亀様|100|750,000|50,000/60,000|BGCOLOR(#bbffff):水|NonActive|ウォーターレイアー|カビ(PT)&br;ハートルビー&br;カメの甲羅&br;亀の甲羅リュック(黒)&br;&color(red){背負い魔ブースト};|アースクライ&br;グラヴィティフォール&br;ランドクラッグ&br;グランドクロス&br;ソリッドオーラ&br;ハウリングスクイーザー(死亡時)|BOSS&br;HPが減ると、プレイヤー未発見でも40秒ごとにアースクライを使用|
