# kontena2

-出現場所&br;【廃坑1F/廃坑2F/廃坑3F/ノーザンD】
|CENTER:|LEFT:|CENTER:|RIGHT:|c
|~|プラチナ塊|開封|2012/06/12|
|~|ペンチ|開封|2012/06/12|
|~|~|直接|2006/06/08|
|~|マシンオイル|開封|2012/06/12|
|~|マジックサプリメント|開封|2012/06/07|
|~|~|直接|2012/06/05|
|~|マジックポーション|開封|2012/06/11|
|~|~|直接|2012/06/12|
|~|魔力の結晶|開封|2012/06/11|
|~|~|直接|2006/06/30|
|~|マルチコンディション|開封|2012/06/12|
|~|~|直接|2012/06/11|
|~|マルチサプリメント|開封|2012/06/11|
|~|メモリ|開封|2012/05/16|
|~|~|直接|2012/06/11|
|~|木炭|開封|2012/06/11|
|~|~|直接|2006/09/21|
|~|破れた魔法書|開封|2012/06/12|
|~|リザレクションサプリ|開封|2012/06/07|
|~|~|直接|2006/06/01|
|~|リザレクポーション|開封|2012/05/16|
|~|~|直接|2012/06/05|
CENTER:&edit(,noicon){コンテナ２を編集};
