# MobDimension

#author("2022-06-27T18:32:25+00:00","","")
*モンスター（ディメンションダンジョン） [#nf147153]
#contents
#include(MobMenu,notitle)

-ドロップ品凡例
--&color(orange){オレンジ色};：知識があると出やすいもの
--&color(red){赤色};：知識が無ければ出ないもの
--&color(slateblue){紫色};：極めて稀なもの
--&color(#cccccc){灰色};：未確定のもの（情報待ち保留中です）

**エミル世界[#DimensionEmil]

***ディメンション廃炭鉱 [#Haitankou]
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Wisp.jpg,nolink,100x100);|D-ウィスプ|93|13,000?|%%8,450/8,970%%&br;10,140/10,764|BGCOLOR(#ffffff):光&br;(99↓)|Active|B1F&br;B2F&br;B3F|スタミナポーション&br;高級ヒールポーション&br;高級マジックポーション&br;ディメンション硬石|セイントファング&br;ヒーリング&br;ライトバラッド|M.DEF高め|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Lowkey.jpg,nolink,100x100);|D-ローキー|92|12,000|%%8,190/8,060%%&br;9,828/9,672|BGCOLOR(#fff68f):風|Active|B1F&br;B2F&br;B3F|スタミナポーション&br;高級スタミナポーション&br;ディメンション硬石&br;ブランクイリスカード|ウィンドアタック&br;アサルト&br;チャージ&br;アヴォイド・バースト|S.HIT高め|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/CaveLowkey.jpg,nolink,100x100);|D-ケイブローキー|94|15,500|%%9,360/9,750%%&br;11,232/11,700|BGCOLOR(#fff68f):風|Active|B2F&br;B3F|高級ヒールポーション&br;マルチコンディション&br;ディメンション硬石&br;力の結晶|怒&br;つむじ風&br;ドップ&br;アヴォイド・バースト||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Mokku-.jpg,nolink,100x100); |D-モックー|94|14,000|%%9,750/9,750%%&br;11,700/11,700|BGCOLOR(#98fb98):土|Active|B2F&br;B3F&br;B4F|最高級ヒールポーション&br;高級マジックポーション&br;魔力の結晶&br;ディメンション硬石&br;ブランクイリスカード|グランドクロス&br;サテライトタイタン&br;クロスファイア&br;アッシュ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Bu-Pi-.jpg,nolink,100x100);|D-ブーピー|95||%%9,880/10,270%%&br;11,856/12,324|BGCOLOR(#ffffff):光&br;(51～99)|Active|B3F&br;B4F|高級スタミナポーション&br;リザレクションポーション&br;ディメンション硬石&br;ブランクイリスカード|エナジーストーム&br;ソリッドオーラ&br;ホーリーライト&br;バードケージ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Mirra.jpg,nolink,100x100);|D-ミイラ|96|20,000|%%7,800/11,700%%&br;9,360/14,040|BGCOLOR(#c4adff):闇&br;(51～75)|Active|B4F|高級ヒールポーション&br;リザレクションポーション&br;ディメンション硬石&br;ブランクイリスカード&br;クリティカルの結晶|一閃&br;石化ガス&br;コンフュージョンブロウ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/LivingDead.jpg,nolink,97x100);|D-リヴィングデッド|96|21,000|%%11,700/7,800%%&br;14,040/9,360|BGCOLOR(#c4adff):闇&br;(51～75)|Active|B4F|高級ヒールポーション&br;マルチコンディション&br;ディメンション硬石&br;ブランクイリスカード&br;力の結晶|パープルガス&br;ディープフォレスト&br;ブランディッシュ&br;コンフュージョンブロウ&br;ダークバラッド||
|透明&br;(名前表示のみ)|インビジブルメイジ|100|17,000|%%18,200/17,500%%&br;25,480/24,570|BGCOLOR(#c4adff):闇&br;(51～75)|Active|B4F&br;B5F|最高級ヒールポーション&br;想いの真結晶&br;ブランクイリスカード5&br;ブランクイリスカード10|バッドドリーム&br;ヴァニッシュメント&br;グラヴィティフォール&br;パーフェクションウォール|透明だが名前表示有り&br;ターゲット＆攻撃可&br;BOSS属性&br;高S.HIT&br;広範囲索敵|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/CaveFish.jpg,nolink,100x100);|D-ケイブフィッシュ|94||%%11,180/11,440%%&br;14,534/14,872|BGCOLOR(#bbffff):水||B5F|高級ヒールポーション&br;高級スタミナポーション&br;高級マジックポーション&br;ディメンション硬石|アースライズ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Torpedo.jpg,nolink,100x100);|D-トルピード|95||%%11,570/10,660%%&br;15,041/13,858|BGCOLOR(#bbffff):水||B5F|高級ヒールポーション&br;高級スタミナポーション&br;高級マジックポーション&br;ディメンション硬石|アサルト&br;ハイパーチャージ|アサルトを使うまでは高DEF|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Zircon1.jpg,nolink,100x100);|D-ジルコンI|98||%%12,350/12,740%%&br;16,055/16,562|BGCOLOR(#ffffff):光&br;(51↑)||B5F|ディメンション硬石&br;高級マジックポーション&br;ブランクイリスカードUC|ホーリーライト&br;エナジーバリア&br;リフレクション||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Raigyo-.jpg,nolink,100x100);|D-ライギョー|97|19,000|%%13,000/13,000%%&br;16,900/16,900|BGCOLOR(#bbffff):水|Active|B5F|最高級ヒールポーション&br;ディメンション硬石&br;ブランクイリスカードUC&br;&color(slateblue){いのちの結晶};|アムラーム&br;アースライズ&br;ウォーターバーン&br;氷化ガス||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Mokugyo-.jpg,nolink,100x100);|D-モクギョー|99|22,000|%%16,250/15,600%%&br;21,125/20,280|BGCOLOR(#bbffff):水&br;(51↑)|Active|B5F|最高級ヒールポーション&br;ディメンション硬石&br;ブランクイリスカード5|ファランクス&br;連続攻撃&br;ディレイキャンセル&br;ディバインバリア||
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/Ratatoskr.JPG,nolink,100x100);|ラタトスク|111|300,000?|%%150,000/150,000%%&br;253,500/253,500|BGCOLOR(#ffffff):光&br;(50↑)|Active|B5F|ディメンション硬石(PT)&br;ディメンション水晶(PT)&br;ブランクイリスカード&br;ブランクイリスカードSR&br;ブランクイリスカードUC|ガトリングブレイズ&br;リフレクション&br;セイントファング&br;氷化ガス&br;エセリアルボディ(pop時)|BOSS属性&br;高ATK&br;高M.ATK|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/%E3%82%B0%E3%83%A9%E3%83%95%E3%82%A6%E3%82%A7%E3%83%AB%E3%82%BA.png,nolink,100x63);|グラフヴェルズ|110||41,600/41,600|BGCOLOR(#98fb98):土&br;(51↑)|Active|B5F|ディメンション硬石&br;最高級ヒールポーション&br;ブランクイリスR|ヴァニッシュメント&br;リストリクトリバース&br;ファランクス&br;アースライズ&br;猛毒スタンガス(死亡時)|ニーズホッグの取巻き&br;BOSS属性|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/%E3%83%8B%E3%83%BC%E3%82%BA%E3%83%9B%E3%83%83%E3%82%B0.png,nolink,100x59);|ニーズホッグ|115|3,000,000?|754,000/754,000|BGCOLOR(#bbffff):水&br;(75↑)|Active|B5F|ゴールドメダル(PT)&br;ディメンション硬石&br;ブランクイリスカード10(PT)&br;&color(slateblue){背負い魔・ブースト};|アイシクルテンペスト&br;アクアウェーブ&br;ハウルアウト&br;咆哮&br;エンドライン&br;グラフヴェルズ召喚|BOSS&br;出現時にグラフヴェルズ召喚を使用&br;取り巻き2匹以下で再召喚|

***ディメンションノーザンダンジョン [#NorthernDungeon]
※南西の区画(凍える商人のイグルー前)からスタート
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Tsukaima.jpg,nolink,100x100);|D-使い魔|96||%%10,000/10,500%%&br;11,000/11,550|BGCOLOR(#ffffff):光&br;(31～40)|Active|北西区画以外|ディメンション氷石&br;高級ヒールポーション&br;高級マジックポーション&br;毒消しの実&br;ブランクイリスカード|マジックポイズン&br;マーベリック&br;リフレクション&br;ヒーリング||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/DarkFeather.jpg,nolink,100x100);|D-ダークフェザー|99|28,800?|%%11,000/12,000%%&br;12,100/13,200|BGCOLOR(#c4adff):闇|Active|北西区画以外|ディメンション氷石&br;高級ヒールポーション&br;高級スタミナポーション&br;高級マジックポーション&br;ブランクイリスカード|ナッシングネス&br;エナジーブラスト&br;ブラックホール&br;マジックスリープ|高M.DEF|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/SkeletonArcher.jpg,nolink,100x100);|D-スケルトンアーチャー|99|33,000?|%%13,000/12,000%%&br;14,300/13,200|BGCOLOR(#c4adff):闇&br;(50↑)|Active|全域|ディメンション氷石&br;黒の書の断片&br;法の書の断片&br;ブランクイリスカード|ダークネスアロー&br;チャージアロー&br;デュアルアロー&br;アッシュ|アンデッド|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Ogre.jpg,nolink,100x100);|D-オーガ|99|41,000?|%%17,000/15,000%%&br;18,700/16,500|BGCOLOR(#c4adff):闇&br;(76↑)|Active|南西・北東区画|ディメンション氷石&br;高級ヒールポーション&br;高級マジックポーション&br;マルチコンディション&br;ブランクイリスカード|アークパワーライズ&br;ハイパーチャージ&br;ディープフォレスト&br;ワー・クライ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/LivingArmor.jpg,nolink,100x100);|D-リビングアーマー|100|35,000?|%%16,000/18,000%%&br;17,600/19,800|BGCOLOR(#c4adff):闇|Active|南西・北東区画|ディメンション氷石&br;高級スタミナポーション&br;高級マジックポーション&br;ブランクイリスカード&br;ブランクイリスカードUC|ゴゥアウト&br;居合い&br;衝撃波&br;マジックシールド|アンデッド&br;高DEF|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/ArcanaClub.jpg,nolink,100x100);|D-アルカナクラブ|101|36,000?|%%17,000/17,000%%&br;18,700/18,700|BGCOLOR(#fff68f):風|Active|北西区画|ディメンション氷石&br;マルチコンディション&br;高級スタミナポーション&br;ブランクイリスカード&br;&color(slateblue){クリティカルの結晶};|ホーリーライズ(+30)&br;ウインドアタック&br;エレクトリックファング&br;ディープフォレスト||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/ArcanaSpade.jpg,nolink,100x100);|D-アルカナスペード|101|36,000?|%%17,000/17,000%%&br;18,700/18,700|BGCOLOR(#ffdddd):火|Active|北西区画|ディメンション氷石&br;マルチコンディション&br;高級ヒールポーション&br;ブランクイリスカード&br;&color(slateblue){いのちの結晶};|ホーリーライズ(+30)&br;ファイアアタック&br;バーンファング&br;ショックウェーブ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/ArcanaDia.jpg,nolink,100x100);|D-アルカナダイヤ|101|37,000?|%%17,000/17,000%%&br;18,700/18,700|BGCOLOR(#98fb98):土|Active|北西区画|ディメンション氷石&br;マルチコンディション&br;高級ヒールポーション&br;ブランクイリスカード&br;&color(slateblue){力の結晶};|ホーリーライズ(+30)&br;アースアタック&br;アースファング&br;パープルガス||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/ArcanaHeart.jpg,nolink,100x100);|D-アルカナハート|101|38,000?|%%17,000/17,000%%&br;18,700/18,700|BGCOLOR(#bbffff):水|Active|北西区画|ディメンション氷石&br;マルチコンディション&br;高級マジックポーション&br;ブランクイリスカード&br;&color(slateblue){魔力の結晶};|ホーリーライズ(+30)&br;ウォータアタック&br;ウォーターファング&br;ララバイ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/ArcanaJack.jpg,nolink,100x100);|D-アルカナジャック|104||%%32,000/30,000%%&br;35,200/33,000|BGCOLOR(#ffffff):光|Active|南東区画|ディメンション氷石&br;最高級ヒールポーション&br;濃縮スタミナポーション|ハウルアウト&br;ノクシャスブラスト&br;サンクチュアリ&br;ソリッドオーラ|BOSS属性|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/ArcanaQueen.jpg,nolink,100x100);|D-アルカナクイーン|108||%%39,000/38,000%%&br;42,900/41,800|BGCOLOR(#ffffff):光|Active|南東区画|ディメンション氷石&br;最高級ヒールポーション|オブセッション&br;ヴァニッシュメント&br;デクライズウェポン&br;エナジーストーム|BOSS属性&br;出現時に自分か周囲のMOBにソリッド使用&br;(使わないこともある)|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/%E3%83%8A%E3%82%A4%E3%83%84%E3%83%BB%E3%82%AA%E3%83%96%E3%83%BB%E3%83%A9%E3%82%A6%E3%83%B3%E3%83%89%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB.png,nolink,105x139);|ナイツ・オブ・ラウンドテーブル|110||70,000/70,000|BGCOLOR(#c4adff):闇|Active|南東区画|ディメンション氷石(PT)&br;ブランクイリスカード5(PT)&br;ブランクイリスカードR(PT)&br;ブランクイリスカードSR|ディバインバリア&br;ディビリテイト&br;リストリクトリバース&br;旋風剣|ペンドラゴンの取巻き(12体)&br;BOSS属性&br;アンデッド&br;死亡時にメガダークブレイズ&br;PCを発見していなくても、&br;10秒ごとにディバインバリアを使用|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/%E3%83%9A%E3%83%B3%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3.png,nolink,123x145);|ペンドラゴン|120|3,960,000|840,000/840,000|BGCOLOR(#ffdddd):火&br;(51↑)|Active|南東区画|ディメンション氷石(PT)&br;ゴールドメダル(PT)&br;タイニーレインボーメダル(PT)&br;ブランクイリスカード10(PT)&br;ブランクイリスカードSR(PT)&br;&color(slateblue){背負い魔・ブースト};|ボルカニックヘル&br;ソウルブレイク&br;ハウルアウト&br;ヴァニッシュメント&br;ナイツ・オブ・ラウンドテーブル召喚|BOSS&br;アンデッド&br;60分～90分湧き&br;瀕死時NonActive&br;出現時にナイツ・オブ・ラウンドテーブル召喚を使用&br;取り巻きの再召喚無し&br;D－使い魔のヒーリングで&br;1353ダメージ|

***ディメンションイーストダンジョン [#EastDungeon]
※ニンフの里の祭壇スタート(ただし安全地帯ではない)&br;マップ順：原初の森→毒の湿原→イーストダンジョン(出現場所はディメンション～の略)
|~画像|~名前|~LV|~HP|~Exp/Job|~属性|~性格|~出現場所|~ドロップ品|~使用スキル|~その他|h
|CENTER:|LEFT:|CENTER:|RIGHT:|RIGHT:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Kokkarasu.jpg,nolink,100x100);|D-コッカラス|102|37000|%%17,500/19,000%%&br;22,750/24,700|BGCOLOR(#bbffff):水|Active|D原初の森|ディメンション水晶&br;高級ヒールポーション&br;高級マジックポーション&br;ブランクイリスカード|ウォータアタック&br;スタンブロウ&br;トランスマインド&br;マジックスリープ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Startler.jpg,nolink,100x100);|D-スタートラー|102|36000|%%18,000/18,500%%&br;23,400/24,050|BGCOLOR(#bbffff):水|特殊&br;Active|D原初の森|ディメンション水晶&br;高級マジックポーション&br;高級スタミナポーション&br;ブランクイリスカード|ブランディッシュ&br;バイタリティダウン&br;ララバイ|視線方向に対して背中を見せると襲ってくる|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/AltoGekko.jpg,nolink,100x100);|D-アルトゲッコ|103|40,000|%%22,000/23,500%%&br;28,600/30,550|BGCOLOR(#bbffff):水|Active|D原初の森&br;Dイーストダンジョン|ディメンション水晶&br;高級ヒールポーション&br;高級スタミナポーション&br;高級マジックポーション&br;ブランクイリスカード|居合い&br;旋風剣&br;一閃&br;マジックスロウ||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/UmeBoar.jpg,nolink,100x100);|D-ウメボア|103|43,000|%%24,000/25,000%%&br;31,200/32,500|BGCOLOR(#98fb98):土|Active|D原初の森&br;D毒の湿原|ディメンション水晶&br;高級ヒールポーション&br;高級スタミナポーション&br;高級マジックポーション&br;ブランクイリスカード|怒&br;アースパウダー&br;ディープフォレスト&br;ハイパーチャージ|高ATK&br;ライズ有効|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Flurry.jpg,nolink,100x100);|D-フューリー|104|39,000|%%26,000/28,000%%&br;33,800/36,400|BGCOLOR(#c4adff):闇&br;(49↓)|Active|D原初の森|ディメンション水晶&br;最高級ヒールポーション&br;リザレクションポーション&br;ブランクイリスカード&br;&color(slateblue){魔力の結晶};|カオスウィドウ&br;バッドドリーム&br;ソリッドオーラ&br;エナジーショック|ライズ有効|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/dimensiontree.jpg,nolink,100x100);|ディメンションツリー|105|36,000|%%37,500/37,500%%&br;48,750/48,750|BGCOLOR(#ffffff):光&br;(49↓)|Active|D原初の森&br;D毒の湿原&br;Dイーストダンジョン|ディメンション水晶&br;最高級ヒールポーション&br;ブランクイリスカード&br;&color(slateblue){クリティカルの結晶};|サンクチュアリ&br;ナッシグネス&br;エナジーストーム&br;ウォーターバーン|BOSS属性&br;長距離反応&br;かなりの長射程&br;四属ライズ有効|
|&ref(http://eco.acronia.net/img/gamedb_wiki/Mob/dimensionrock.jpg,nolink,100x100);|ディメンションロック|105|33,000|%%32,500/32,500%%&br;42,250/42,250|BGCOLOR(#98fb98):土|Active&br;+Link|D原初の森&br;D毒の湿原&br;Dイーストダンジョン|ディメンション水晶&br;最高級ヒールポーション&br;マルチコンディション&br;ブランクイリスカード|ソリッドオーラ&br;リフレクションウォール&br;デクライズウェポン&br;グラヴィティフォール|BOSS属性|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/NightStalk.jpg,nolink,100x100);|D-ナイトストーク|105|42,000|%%42,500/41,000%%&br;55,250/53,300|BGCOLOR(#fff68f):風|Active|D毒の湿原|ディメンション水晶&br;最高級ヒールポーション&br;高級スタミナポーション&br;リザレクションポーション&br;ブランクイリスカードＵＣ&br;&color(slateblue){魔力の結晶};|サンダークランク&br;つむじ風&br;ショックウェーブ&br;バードケージ|ライズ有効|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/CurseFeather.jpg,nolink,100x100);|D-カースフェザー|105|40,000|%%34,000/33,000%%&br;44,200/42,900|BGCOLOR(#c4adff):闇&br;(49↓)|Active|D毒の湿原&br;Dイーストダンジョン|ディメンション水晶&br;最高級ヒールポーション&br;高級マジックポーション&br;マルチコンディション&br;ブランクイリスカードUC|マジックポイズン&br;ディビリテイト&br;ロラン&br;ダークファング|ライズ有効|
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/ElderGekko.jpg,nolink,100x100);|D-エルダーゲッコ|106|52,000|%%40,000/40,000%%&br;52,000/52,000|BGCOLOR(#bbffff):水|Active|D毒の湿原&br;Dイーストダンジョン|ディメンション水晶&br;最高級ヒールポーション&br;高級スタミナポーション&br;ブランクイリスカードUC|ファランクス&br;兜割り&br;一閃&br;スケア||
|&ref(http://eco.acronia.net/img/gamedb_info/eco/monster/Alraune.jpg,nolink,100x100);|D-アラウネ|106|46,000|%%40,500/43,000%%&br;52,650/55,900|BGCOLOR(#98fb98):土|Active|D毒の湿原&br;Dイーストダンジョン|ディメンション水晶&br;最高級ヒールポーション&br;&color(slateblue){いのちの結晶};|ヴァニッシュメント&br;グランドクロス&br;コンフュージョンブロウ&br;ララバイ|ライズ有効|
