# Iris/Ability/Table

#author("2017-04-27T15:44:05+00:00","","")
RIGHT:&edit(,noicon){アビリティベクトル表を編集};

***戦闘用・ステータス変化等 [#tb_Battle]
|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|CENTER:|c
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|-|''+500''|+500|+500|''+1500''|+1500|+1500|+1500|
|~|COLOR(#4444FF):HP回復力％上昇|-|-|-|-|-|-|-|''20%''|20%|20%|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|-|''+2''|+2|+2|+2|+2|
|||||||||||||
|[[技術力強化>Iris/Find/Vector#tb_gijutu]]|&aname(tb_gijutu);COLOR(#DDA500):SP最大値％上昇|''5%''|5%|''15%''|15%|15%|15%|15%|15%|''35%''|''50%''|
|~|COLOR(#FF6600):DEX＋上昇|-|''+1''|+1|+1|''+2''|+2|+2|+2|+2|+2|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|-|''+250''|+250|+250|''+800''|+800|+800|+800|
|~|COLOR(#DDA500):SP回復力％上昇|-|-|-|-|-|-|-|''20%''|20%|20%|
|~|COLOR(#FF6600):AGI＋上昇|-|-|-|-|-|''+2''|+2|+2|+2|+2|
|||||||||||||
|[[知力強化>Iris/Find/Vector#tb_tiryoku]]|&aname(tb_tiryoku);COLOR(#AA00AA):MP最大値％上昇|''5%''|5%|''15%''|15%|15%|15%|15%|15%|''35%''|''50%''|
|~|COLOR(#FF6600):MAG＋上昇|-|''+1''|+1|+1|''+2''|+2|+2|+2|+2|+2|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|-|''+250''|+250|+250|''+800''|+800|+800|+800|
|~|COLOR(#AA00AA):MP回復力％上昇|-|-|-|-|-|-|-|''20%''|20%|20%|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|-|''+2''|+2|+2|+2|+2|
|||||||||||||
|[[パッケージの心得>Iris/Find/Vector#packag]]|&aname(tb_packag);COLOR(#66CC66):キャパシティ％上昇|''5%''|5%|''10%''|10%|''15%''|15%|''20%''|20%|''25%''|25%|
|~|COLOR(#66CC66):ペイロード％上昇|-|''5%''|5%|''10%''|10%|''15%''|15%|''20%''|20%|''25%''|
|||||||||||||
|[[ジャイアントキリング>Iris/Find/Vector#gkilling]]|&aname(tb_gkilling);COLOR(#FF0000):Lv差命中減少％軽減|''10%''|''20%''|''30%''|''50%''|''80%''|''100%''|100%|100%|100%|100%|
|~|COLOR(#FF8800):ATK値＋上昇|-|-|-|-|-|-|''+5''|+5|''+15''|''+25''|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|-|-|-|''+1''|+1|+1|
|||||||||||||
|[[流水の心得>Iris/Find/Vector#ryuusui]]|&aname(tb_ryuusui);COLOR(#555555):被物理ダメージ％減少|''2%''|''4%''|4%|''6%''|6%|''8%''|''10%''|10%|''12%''|12%|
|~|COLOR(#555555):Guard率％上昇|-|-|''2%''|2%|''5%''|5%|5%|''8%''|8%|''10%''|
|||||||||||||
|[[斬鉄の心得>Iris/Find/Vector#zantetu]]|&aname(tb_zantetu);COLOR(#0088CC):クリティカル％上昇|''2%''|''4%''|''6%''|''8%''|''10%''|''12%''|''14%''|''16%''|''18%''|''20%''|
|||||||||||||
|[[耐久の心得>Iris/Find/Vector#taikyuu]]|&aname(tb_taikyuu);COLOR(#FF8800):DEF＋上昇|''+3''|+3|''+6''|+6|''+9''|+9|''+12''|+12|''+15''|+15|
|~|COLOR(#222288):防具防御力％上昇|-|''5%''|5%|''10%''|10%|''15%''|15%|''20%''|20%|''25%''|
|||||||||||||
|[[ウェポンビルダー>Iris/Find/Vector#weapon]]|&aname(tb_weapon);COLOR(#CC3300):武器攻撃力＋上昇|''+3''|+3|''+7''|+7|''+15''|+15|''+20''|+20|''+25''|+25|
|~|COLOR(#CC3300):武器攻撃力％上昇|-|''5%''|5%|''10%''|10%|''20%''|20%|''30%''|30%|''40%''|
|||||||||||||
|[[アーマービルダー>Iris/Find/Vector#armor]]|&aname(tb_armor);COLOR(#222288):防具防御力＋上昇|+3|+6|+10|+13|+18|+22|+25|+30|+33|+40|
|||||||||||||
|[[ショートレンジバースト>Iris/Find/Vector#Srange]]|&aname(tb_Srange);COLOR(#FF8800):S.HIT値＋上昇|''+5''|+5|''+10''|''+15''|+15|+15|''+20''|+20|''+25''|+25|
|~|COLOR(#FF8800):ATK値＋上昇|-|''+3''|+3|+3|+3|''+6''|+6|+6|+6|+6|
|~|COLOR(#FF8800):S.HIT値%上昇|-|-|-|-|''10%''|10%|10%|''15%''|15%|''20%''|
|||||||||||||
|[[ロングレンジバースト>Iris/Find/Vector#Lrange]]|&aname(tb_Lrange);COLOR(#FF8800):L.HIT値＋上昇|''+5''|+5|''+10''|''+15''|+15|+15|''+20''|+20|''+25''|25|
|~|COLOR(#FF8800):ATK値＋上昇|-|''+3''|+3|+3|+3|''+6''|+6|+6|+6|+6|
|~|COLOR(#FF8800):L.HIT値%上昇|-|-|-|-|''10%''|10%|10%|''15%''|15%|''20%''|
|||||||||||||
|[[マジックバースト>Iris/Find/Vector#magic]]|&aname(tb_magic);COLOR(#FF8800):M.ATK＋上昇|''+3''|''+6''|''+9''|''+12''|+12|''+15''|''+18''|+21|''+25''|+25|
|~|COLOR(#FF6600):MAG＋上昇|-|-|-|-|''+1''|+1|+1|+1|+1|''+2''|
|||||||||||||
|[[深愛の絆>Iris/Find/Vector#shinai]]|&aname(tb_shinai);COLOR(#4444FF):HP回復力％上昇|''10%''|10%|10%|10%|10%|10%|10%|10%|10%|10%|
|~|COLOR(#AA00AA):MP回復力％上昇|-|''10%''|10%|10%|10%|10%|10%>|10%|10%|10%|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|''+1000''|+1000|+1000|+1000|+1000|+1000|+1000|+1000|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|-|''+500''|+500|+500|+500|+500|+500|+500|
|~|COLOR(#0088CC):クリティカル％上昇|-|-|-|-|''8%''|8%|8%|8%|8%|8%|
|~|COLOR(#555555):被物理ダメージ％減少|-|-|-|-|-|''8%''|8%|8%|8%|8%|
|~|COLOR(#222288):防具防御力＋上昇|-|-|-|-|-|-|''+30''|+30|+30|+30|
|~|COLOR(#66CC66):キャパシティ％上昇|-|-|-|-|-|-|-|''25%''|25%|25%|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|-|-|-|''+2''|+2|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|-|-|-|-|-|''+2''|
|||||||||||||
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[慈愛の加護>Iris/Find/Vector#jiai]]|&aname(tb_jiai);COLOR(#4444FF):HP回復力％上昇|''5%''|5%|5%|5%|5%|5%|5%|5%|5%|5%|
|~|COLOR(#AA00AA):MP回復力％上昇|-|''5%''|5%|5%|5%|5%|5%|5%|5%|5%|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|''+350''|+350|+350|+350|+350|+350|+350|+350|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|-|''+150''|+150|+150|+150|+150|+150|+150|
|~|COLOR(#0088CC):クリティカル％上昇|-|-|-|-|''5%''|5%|5%|5%|5%|5%|
|~|COLOR(#555555):被物理ダメージ％減少|-|-|-|-|-|''5%''|5%|5%|5%|5%|
|~|COLOR(#222288):防具防御力＋上昇|-|-|-|-|-|-|''+10''|+10|+10|+10|
|~|COLOR(#66CC66):キャパシティ％上昇|-|-|-|-|-|-|-|''10%''|10%|10%|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|-|-|-|''+1''|+1|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|-|-|-|-|-|''+1''|
|||||||||||||
|[[唸る大胸筋>Iris/Find/Vector#kyoukin]]|&aname(tb_kyoukin);COLOR(#4444FF):HP最大値＋上昇|''+50''|+50|+50|+50|+50|''+800''|+800|+800|+800|+800|
|~|COLOR(#66CC66):ペイロード％上昇|-|''5%''|5%|5%|5%|5%|5%|5%|5%|5%|
|~|COLOR(#FF6600):STR＋上昇|-|-|''+1''|+1|+1|+1|+1|+1|+1|''+2''|
|~|COLOR(#FF8800):ATK＋上昇|-|-|-|''+3''|+3|+3|''+6''|+6|+6|+6|
|~|COLOR(#0088CC):クリティカル％上昇|-|-|-|-|''5%''|5%|5%|''15%''|15%|15%|
|~|COLOR(#4444FF):HP回復力％上昇|-|-|-|-|-|-|-|-|''30%''|30%|
|||||||||||||
//旧仕様
//|[[みんつく>Iris/Find/Vector#mintsuku]]|&aname(tb_mintsuku);COLOR(#66CC66):ペイロード％上昇|''5%''|5%|5%|5%|5%|5%|5%|5%|''7%''|7%|
//|~|COLOR(#66CC66):キャパシティ％上昇|-|''5%''|5%|5%|5%|5%|5%|5%|5%|''7%''|
//|~|COLOR(#4444FF):HP最大値＋上昇|-|-|''+100''|+100|+100|+100|+100|+100|+100|+100|
//|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|-|''+50''|+50|+50|+50|+50|+50|+50|
//|~|COLOR(#DDA500):SP最大値＋上昇|-|-|-|-|''+50''|+50|+50|+50|+50|+50|
//|~|COLOR(#4444FF):HP回復力％上昇|-|-|-|-|-|''5%''|5%|5%|5%|5%|
//|~|COLOR(#AA00AA):MP回復力％上昇|-|-|-|-|-|-|''5%''|5%|5%|5%|
//|~|COLOR(#DDA500):SP回復力％上昇|-|-|-|-|-|-|-|''5%''|5%|5%|
//|||||||||||||
|[[みんつく>Iris/Find/Vector#mintsuku]]|&aname(tb_mintsuku);COLOR(#66CC66):ペイロード％上昇|''5%''|5%|5%|5%|5%|5%|5%|5%|5%|5%|
|~|COLOR(#66CC66):キャパシティ％上昇|-|''5%''|5%|5%|5%|5%|5%|5%|5%|5%|
|~|COLOR(#4444FF):HP最大値＋上昇|-|-|''+200''|+200|+200|''+500''|+500|+500|+500|+500|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|-|''+100''|+100|+100|''+250''|+250|+250|+250|
|~|COLOR(#DDA500):SP最大値＋上昇|-|-|-|-|''+100''|+100|+100|''+250''|+250|+250|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|-|-|-|-|-|''+8''|''+12''|
|||||||||||||
|[[大豊作>Iris/Find/Vector#bhousaku]]|&aname(tb_bhousaku);COLOR(#66CC66):キャパシティ％上昇|''5%''|5%|''10%''|10%|''15%''|15%|''20%''|20%|''25%''|25%|
|~|COLOR(#DDA500):SP最大値＋上昇|-|''+30''|+30|''+120''|120|''+450''|+450|''+1000''|+1000|''+1500''|
|||||||||||||
|[[豊作>Iris/Find/Vector#housaku]]|&aname(tb_housaku);COLOR(#66CC66):キャパシティ％上昇|''3%''|3%|''5%''|5%|''7%''|7%|''10%''|10%|''15%''|15%|
|~|COLOR(#DDA500):SP最大値＋上昇|-|''+20''|+20|''+80''|+80|''+200''|+200|''+400''|+400|''+600''|
|||||||||||||
|[[ウェポンプラス>Iris/Find/Vector#weaponPlus]]|&aname(tb_weaponPlus);COLOR(#CC3300):武器攻撃力＋上昇|''+1''|''+3''|''+5''|''+7''|''+10''|''+13''|''+16''|''+19''|''+22''|''+25''|
|||||||||||||
|[[アーマープラス>Iris/Find/Vector#armorPlus]]|&aname(tb_armorPlus);COLOR(#222288):防具防御力＋上昇|''+1''|''+3''|''+5''|''+7''|''+9''|''+11''|''+13''|''+15''|''+17''|''+20''|
|||||||||||||
|[[マジックプラス>Iris/Find/Vector#masicPlus]]|&aname(tb_masicPlus);COLOR(#FF8800):M.ATK＋上昇|''+1''|+1|''+3''|''+5''|+5|''+7''|+7|''+10''|''+13''|+13|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|''+50''|+50|+50|+50|+50|''+100''|+100|+100|+100|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|''+1''|+1|+1|+1|+1|+1|
|~|COLOR(#FF6600):MAG＋上昇|-|-|-|-|-|-|-|-|-|''+1''|
|||||||||||||
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|[[攻撃の心得>Iris/Find/Vector#Kogeki]]|&aname(tb_Kogeki);COLOR(#4444FF):HP最大値％上昇|''10%''|10%|10%|''15%''|15%|15%|15%|''30%''|30%|30%|
|~|COLOR(#DDA500):SP最大値％上昇|-|''10%''|10%|10%|''15%''|15%|15%|15%|''30%''|30%|
|~|COLOR(#FF8800):ATK％上昇|-|-|''5%''|5%|5%|''10%''|10%|10%|10%|''20%''|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|-|-|''+1''|+1|+1|+1|
|||||||||||||
|[[守りの心得>Iris/Find/Vector#Mamori]]|&aname(tb_Mamori);COLOR(#FF8800):S.AVOID＋上昇|''+5''|+5|+5|+5|+5|''+20''|+20|+20|+20|+20|
|~|COLOR(#FF8800):L.AVOID＋上昇|-|''+5''|+5|+5|+5|+5|''+20''|+20|+20|+20|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|''13%''|13%|13%|13%|13%|''35%''|35%|35%|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|''+7''|+7|+7|+7|+7|''+20''|+20|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|-|-|''+7''|+7|+7|+7|+7|''+15''|
|||||||||||||
|[[魔法の心得>Iris/Find/Vector#Mahou]]|&aname(tb_Mahou);COLOR(#FF8800):M.ATK％上昇|''2%''|2%|2%|''5%''|5%|5%|''10%''|10%|10%|''17%''|
|~|COLOR(#AA00AA):MP最大値％上昇|-|''10%''|10%|10%|''20%''|20%|20%|''30%''|30%|30%|
|~|COLOR(#AA00AA):MP回復力％上昇|-|-|''5%''|5%|5%|''10%''|10%|10%|''20%''|20%|
|||||||||||||
|[[運搬の心得>Iris/Find/Vector#Unpan]]|&aname(tb_Unpan);COLOR(#4444FF):HP最大値％上昇|''10%''|10%|10%|10%|''15%''|15%|15%|15%|15%|15%|
|~|COLOR(#DDA500):SP最大値％上昇|-|''10%''|10%|10%|10%|''15%''|15%|15%|15%|15%|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|''+150''|+150|+150|+150|''+350''|+350|+350|+350|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|''+150''|+150|+150|+150|''+350''|+350|+350|
|~|COLOR(#66CC66):ペイロード％上昇|-|-|-|-|-|-|-|-|''15%''|15%|
|~|COLOR(#66CC66):キャパシティ％上昇|-|-|-|-|-|-|-|-|-|''15%''|
|||||||||||||
|[[初心の心得>Iris/Find/Vector#Syosin]]|&aname(tb_Syosin);COLOR(#66CC66):ペイロード＋上昇|''+50''|+50|+50|+50|+50|''+100''|+100|+100|+100|+100|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|''+50''|+50|+50|+50|+50|''+100''|+100|+100|+100|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|''10%''|10%|10%|10%|10%|''25%''|25%|25%|
|~|COLOR(#AA00AA):MP最大値％上昇|-|-|-|''10%''|10%|10%|10%|10%|''25%''|25%|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|-|-|''10%''|10%|10%|10%|10%|''25%''|
|||||||||||||
|[[時空の導き手>Iris/Find/Vector#Zikuu]]|&aname(tb_Zikuu);COLOR(#4444FF):HP最大値％上昇|''15%''|15%|15%|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#AA00AA):MP最大値％上昇|-|''15%''|15%|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|''15%''|15%|15%|15%|15%|15%|15%|15%|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|-|''+7''|+7|+7|+7|+7|+7|''+20''|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|-|''+10''|+10|+10|+10|+10|+10|
|~|COLOR(#FF8800):S.AVOID＋上昇|-|-|-|-|-|''+12''|+12|+12|+12|+12|
|~|COLOR(#FF8800):L.AVOID＋上昇|-|-|-|-|-|-|''+12''|+12|+12|+12|
|~|COLOR(#66CC66):ペイロード＋上昇|-|-|-|-|-|-|-|''+100''|+100|+100|
|~|COLOR(#66CC66):キャパシティ＋上昇|-|-|-|-|-|-|-|-|''+100''|+100|
|||||||||||||
|[[白銀の護手>Iris/Find/Vector#hakugin]]|&aname(tb_hakugin);COLOR(#222288):防具防御力＋上昇|''+10''|+10|+10|+10|+10|''+20''|+20|+20|+20|+20|
|~|COLOR(#555555):被物理ダメージ減少|-|''5%''|5%|5%|5%|5%|''15%''|15%|15%|15%|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|''+10''|+10|+10|+10|+10|''+25''|+25|+25|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|''+5''|+5|+5|+5|+5|''+15''|+15|
|~|COLOR(#222288):防具防御力％上昇|-|-|-|-|''15%''|15%|15%|15%|15%|''30%''|
|||||||||||||
|[[漆黒の徨手>Iris/Find/Vector#sikkoku]]|&aname(tb_sikkoku);COLOR(#CC3300):武器攻撃力＋上昇|''+10''|+10|+10|+10|+10|''+25''|+25|+25|+25|+25|
|~|COLOR(#0088CC):クリティカル％上昇|-|''5%''|5%|5%|5%|5%|''10%''|10%|10%|10%|
|~|COLOR(#CC3300):武器攻撃力％上昇|-|-|''7%''|7%|7%|7%|7%|''20%''|20%|20%|
|~|COLOR(#FF8800):ATK＋上昇|-|-|-|''+5''|+5|+5|+5|+5|''+15''|+15|
|~|COLOR(#FF8800):ATK％上昇|-|-|-|-|''5%''|5%|5%|5%|5%|''15%''|
|||||||||||||
|[[ボ、ボク男の子だよぅ>Iris/Find/Vector#otokomusume]]|&aname(tb_otokomusume);COLOR(#555555):Guard率％上昇|''5%''|5%|5%|5%|5%|''10%''|10%|10%|10%|10%|
|~|COLOR(#4444FF):HP回復力％上昇|-|''10%''|10%|10%|10%|10%|''25%''|25%|25%|25%|
|~|COLOR(#DDA500):SP回復力％上昇|-|-|''10%''|10%|10%|10%|10%|''25%''|25%|25%|
|~|COLOR(#4444FF):HP最大値％上昇|-|-|-|''15%''|15%|15%|15%|15%|''35%''|35%|
|~|COLOR(#DDA500):SP最大値％上昇|-|-|-|-|''15%''|15%|15%|15%|15%|''35%''|
|||||||||||||
|[[マジックブレイズン>Iris/Find/Vector#Magic_b]]|&aname(tb_Magic_b);COLOR(#FF8800):M.ATK＋上昇|''+3''|+3|''+6''|+6|''+9''|+9|''+13''|+13|''+17''|+17|
|~|COLOR(#FF8800):M.ATK％上昇|-|''3%''|3%|''6%''|6%|''9%''|9%|''12%''|12%|''15%''|
|||||||||||||
|[[アサルトブレイズン>Iris/Find/Vector#assault_b]]|&aname(tb_assault_b);COLOR(#FF8800):S.HIT％上昇|''5%''|5%|5%|5%|5%|5%|5%|5%|''15%''|15%|
|~|COLOR(#0088CC):クリティカル％上昇|-|''5%''|5%|5%|5%|5%|5%|5%|5%|5%|
|~|COLOR(#FF8800):ATK％上昇|-|-|''5%''|5%|5%|5%|5%|5%|5%|''15%''|
|~|COLOR(#FF8800):S.AVOID＋上昇|-|-|-|''+10''|+10|+10|+10|+10|+10|+10|
|~|COLOR(#FF8800):DEF＋上昇|-|-|-|-|''+10''|+10|+10|+10|+10|+10|
|~|COLOR(#FF8800):S.HIT＋上昇|-|-|-|-|-|''+15''|+15|+15|+15|+15|
|~|COLOR(#FF8800):ATK＋上昇|-|-|-|-|-|-|''+10''|+10|+10|+10|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|-|-|-|''+1''|+1|+1|
|||||||||||||
|[[クリプティックフォース>Iris/Find/Vector#crypticforce]]|&aname(tb_crypticforce);COLOR(#AA00AA):MP回復力％上昇|''7%''|7%|7%|7%|7%|''20%''|20%|20%|20%|20%|
|~|COLOR(#AA00AA):MP最大値％上昇|-|''5%''|5%|5%|5%|5%|''35%''|35%|35%|35%|
|~|COLOR(#AA00AA):MP最大値＋上昇|-|-|''+200''|+200|+200|+200|+200|''+1000''|+1000|+1000|
|~|COLOR(#FF6600):MAG＋上昇|-|-|-|''+1''|+1|+1|+1|+1|''+2''|+2|
|~|COLOR(#FF6600):INT＋上昇|-|-|-|-|''+1''|+1|+1|+1|+1|''+2''|
|||||||||||||
|~アビリティベクトル|~リリースアビリティ|~Lv1|~Lv2|~Lv3|~Lv4|~Lv5|~Lv6|~Lv7|~Lv8|~Lv9|~Lv10|
|~|~|BGCOLOR(#DDDDDD):~&size(11){1～};|BGCOLOR(#DDDDDD):~&size(11){30～};|BGCOLOR(#DDDDDD):~&size(11){80～};|BGCOLOR(#DDDDDD):~&size(11){150～};|BGCOLOR(#DDDDDD):~&size(11){250～};|BGCOLOR(#DDDDDD):~&size(11){370～};|BGCOLOR(#DDDDDD):~&size(11){510～};|BGCOLOR(#DDDDDD):~&size(11){660～};|BGCOLOR(#DDDDDD):~&size(11){820～};|BGCOLOR(#DDDDDD):~&size(11){999};|
|LEFT:|LEFT:130|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|RIGHT:45|c
|[[スティグマータ>Iris/Find/Vector#stigmata]]|&aname(tb_stigmata);COLOR(#0088CC):クリティカル％上昇|''7%''|7%|7%|7%|7%|''15%''|15%|15%|15%|15%|
|~|COLOR(#555555):被物理ダメージ％減少|-|''5%''|5%|5%|5%|5%|''12%''|12%|12%|12%|
|~|COLOR(#FF8800):DEF＋上昇|-|-|''+10''|+10|+10|+10|+10|''+25''|+25|+25|
|~|COLOR(#FF8800):M.DEF＋上昇|-|-|-|''+10''|+10|+10|+10|+10|''+25''|+25|
|~|COLOR(#FF8800):ATK％上昇|-|-|-|-|''7%''|7%|7%|7%|7%|''17%''|
|||||||||||||
|[[ラクーンフォート>Iris/Find/Vector#RaccoonFort]]|&aname(tb_RaccoonFort);COLOR(#FF8800):L.HIT値＋上昇|''+10''|+10|+10|+10|+10|+10|''+20''|+20|+20|+20|
|~|COLOR(#FF8800):S.HIT値＋上昇|-|''+10''|+10|+10|+10|+10|+10|''+20''|+20|+20|
|~|COLOR(#FF0000):Lv差命中減少％軽減|-|-|''80%''|80%|80%|80%|80%|80%|80%|80%|
|~|COLOR(#FF8800):L.HIT％上昇|-|-|-|''7%''|7%|7%|7%|7%|''15%''|15%|
|~|COLOR(#FF8800):S.HIT％上昇|-|-|-|-|''7%''|7%|7%|7%|7%|''15%''|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|-|''+1''|+1|+1|+1|+1|
|||||||||||||
|[[インテグレーション>Iris/Find/Vector#integration]]|&aname(tb_integration);COLOR(#222288):防具防御力＋上昇|''+10''|+10|+10|+10|+10|''+20''|+20|+20|+20|+20|
|~|COLOR(#CC3300):武器攻撃力＋上昇|-|''+7''|+7|+7|+7|+7|''+15''|+15|+15|+15|
|~|COLOR(#222288):防具防御力％上昇|-|-|''15%''|15%|15%|15%|15%|15%|''25%''|25%|
|~|COLOR(#CC3300):武器攻撃力％上昇|-|-|-|''10%''|10%|10%|10%|10%|10%|''20%''|
|~|COLOR(#FF6600):STR＋上昇|-|-|-|-|''+1''|+1|+1|+1|+1|+1|
|~|COLOR(#FF6600):VIT＋上昇|-|-|-|-|-|-|-|''+1''|+1|+1|
|||||||||||||
|[[マーキュリーの喝采>Iris/Find/Vector#Mercury]]|&aname(tb_Mercury);COLOR(#66CC66):キャパシティ％上昇|''10％''|10％|10％|10％|10％|10％|10％|10%|10%|10%|
