# PetList/Ride

#author("2017-04-07T17:40:56+00:00","","")
#include(Pet/PetMenu,notitle)
*パートナー一覧表 （ライドパートナー） [#y7d2e06b]
#contents

--&color(#0000ff){パラメーターは、06/10/1までに掲示板・コメントで記載されたものを反映しています。&br;仕様変更があったため、育てた時期によっては1～2の差が出ることがあるので参考として下さい。&br;上限に達したかは%%転生の際のパラメーター上昇で判断するといいでしょう。%% 数字の色が緑色になったかで判断できます。};
--パラメーターは、レイアウトの関係で英語表記としています。
---パラメーターの表示順序はゲーム内の説明と同じです。
---初期パラメーターのうち、&color(#a0a0a0){''灰色で表示''};されたものは旧隠しステータスであり、数値が不正確である場合があります。確定したもののみ黒で表示に戻してください。
--07/02/23にパートナーのHP回復アイテムが統合されました。
---「ピュアエナジー」「大人の回復薬」「バードケーキ」「鉱油」「樹液」⇒「ペットフード」に統合。14/07/24に「パートナーフード」に改名・
--07/10/12にペットのステータス調整が実施されました。
--13/06/27に各種隠しステータスの通常表示化、及び、カウントストップ・ステータス値の緑字表示化の仕様変更が行われました。
--13/12/26より飛空庭に設置が可能になりました。設置後右クリックでポーズを変えることができます。
--14/07/24に「ペット」から「パートナー」にカテゴリ名が変更されました。
プレイヤー間では未だペットと呼ぶ人も少なくないが、総じて「パートナー」の事を指す。


//修正値反映完了パートナー：ネコマタ緑、ネコマタ杏、青ドラゴ
//（上昇したパラメーターはとりあえず赤字にしています。パラメーターを更新された方は、上の日付の変更もお願いします。）

**ライドパートナー [#xbf16ef7]

***[[ライドクローラー>#RC]] [#q42355cd]
|CENTER:128|CENTER:120|CENTER:90|CENTER:80|CENTER:70|CENTER:390|c
|~画像|~固有命令スキル&br;習得可能職業|~初期&br;パラメーター|~成長&br;(転生前)((黒は限界値が確定していると思われるパラメーター、灰色はまだ限界値が確定していないと思われるパラメーターです。))|~説明と入手法|h

***[[ダークドラゴ>#darkDorago]] [#b277e50f]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/DarkDorago.jpg,nolink,128x128);|ブリーダー|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;C.AVOID:4&br;A.SPD:150&br;C.SPD:130&br;RCV:120&br;M.RCV:1&br;S.RCV:0|&color(#f00000){+1350};&br;+196&br;+129&br;+113&br;+82&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;+16&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;+12&br;&color(#a0a0a0){+0};|ドラゴンの騎乗パートナー&br;フィールドではブルードラゴより速い&br;&br;モーションディレイが長い&br;&br;【装備条件】&br;パッシブスキル「[[手綱>Skill/Breeder#wf54bb4d]]」の習得(ブリーダーLv13習得)&br;&br;【スキル】&br;[[プロミネンス>Skill/Special#x9b4e602]]&br;&br;【入手法】&br;[[ブリーダ参照>Skill/Breeder#o0b10bea]]&br;&br;【備考】&br;ブリーダー専用の騎乗パートナー|

***探索用エレキテル・※ [#ElekitelLab]
ライドパートナー扱いの特殊アイテム
「エレキテルラボ」の「[[探索用エレキテル>Quest/ElekitelLab#x6990180]]」を参照

***[[２足歩行ロボット>Skill/Machinery#jae0714c]][#a35e2045]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/Machinely.jpg,nolink,128x128);|マシンナリー|HP:2000&br;ATK:150&br;M.ATK:300&br;DEF:50&br;M.DEF:30&br;S.HIT:100&br;L.HIT:100&br;M.HIT:100&br;S.AVOID:70&br;L.AVOID:60&br;M.RST:50&br;CRITICAL:10&br;&br;C.AVOID:10&br;A.SPD:250&br;C.SPD:250&br;RCV:120&br;M.RCV:1&br;S.RCV:0|+1200&br;+150&br;+100&br;+104&br;+26&br;+90&br;+60&br;+250&br;+90&br;+55&br;+60&br;+50&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+100};&br;+2&br;&color(#a0a0a0){+0};|マシンナリー専用の騎乗ロボット&br;移動速度はファイアードラゴと同じです。&br;&br;【装備条件】&br;スキル「パイロットマスタリー」が必須&br;&br;【入手法】&br;1.マシンナリーギルドで1,000,000Gで購入&br;2.ロボットのパーツを集め、機械組み立てを行う。&br;&br;&color(#ff8000){ロボットは他のパートナーと違い戦闘では成長せず、&br;特殊アイテムを消費して強化を行います。};&br;詳細は[[こちら>Skill/Machinery#d520cefc]]|

***犬ぞり（クリスマス） [#md2f504c]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/InuZoriChristmas.jpg,nolink,128x120);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:150};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|クリスマスバウの犬ぞりが騎乗パートナー化&br;&br;&br;【入手法】&br;アニバーサリーチャンス・ECOくじ&br;エレキテルラボ景品(07/12/21～08/02/08)|

***勝利のボール [#q1691ce3]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Shoulder/winningball.jpg,nolink,128x128);|なし|HP:100&br;ATK:15&br;M.ATK:12&br;DEF:10&br;M.DEF:25&br;S.HIT:12&br;L.HIT:8&br;M.HIT:27&br;S.AVOID:3&br;L.AVOID:3&br;M.RST:15&br;CRITICAL:30&br;&br;C.AVOID:30&br;A.SPD:150&br;C.SPD:120&br;RCV:110&br;M.RCV:1&br;S.RCV:0|&color(#a0a0a0){+0};&br;+113&br;+90&br;&color(#a0a0a0){+0};&br;+0&br;+117&br;&color(#a0a0a0){+40};&br;+12&br;+0&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;+33&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|古の民に伝わる太陽を象ったボール&br;輝かしい未来を呼び込むと伝えられる。&br;&br;【入手法】&br;季節イベント「ECOでGet a GOAL 2010」の景品|

***ケット・シー　（通常パートナー←→騎乗パートナー） [#CaitSith]
#include(PetList/Ride/CaitSith,notitle)

***ティラ [#tyra]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/tyra.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+1250&br;+196&br;+129&br;+113&br;+82&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|PARTNER装備&br;パズル＆ドラゴンズのティラ&br;「ガル？ ガルル、ガルガル♪」&br;背中に乗れと言っている気がする&br;&br;移動速度はフィールドでのブルードラゴと同程度&br;&br;【入手法】&br;コラボイベント「EMIL & DRAGONS」以降、タイニーアイランドにいる「ティラ」に話しかける。|

***ワームドラゴン [#t6b1e48d]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/worm_dragon.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;C.AVOID:4&br;A.SPD:150&br;C.SPD:130&br;RCV:120&br;M.RCV:1&br;S.RCV:0|+1250&br;+196&br;+129&br;+113&br;+82&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;+16&br;+200&br;+200&br;+120&br;&color(#a0a0a0){+};&br;+100&br;|騎乗できるワームドラゴン&br;物は積めないが飛行速度には&br;定評がある&br;&br;【入手法】&br;ドラゴンライダーが稀にワームドラゴンの卵をドロップする。&br;卵を軍艦島のやり手の商人に孵してもらうことで入手できる。&br;ただし[[''ライドパートナードラゴ入手''>Event/Others#wef43354]]を進めている必要がある。|

***ウィッカ・グレイル [#Wicca_Grail]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/Wicca_Grail.jpg,nolink,128x123);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:－};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+1250&br;+196&br;+129&br;+113&br;+82&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+};&br;&color(#a0a0a0){+};&br;&color(#a0a0a0){+};&br;&color(#a0a0a0){+};&br;&color(#a0a0a0){+};&br;&color(#a0a0a0){+};&br;|魔女の聖杯とも呼ばれる魔導器&br;&br;【入手法】&br;ウィッカ・アラディア、ウィッカ・アラディア・シャドーがドロップ。|

***カッカラン [#af8bf176]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/Kakkaran.jpg,nolink,128x128);|　　|HP:280&br;ATK:45&br;M.ATK:40&br;DEF:34&br;M.DEF:15&br;S.HIT:40&br;L.HIT:21&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;C.AVOID:4&br;A.SPD:150&br;C.SPD:130&br;RCV:120&br;M.RCV:1&br;S.RCV:0|+1100&br;+186&br;+120&br;+110&br;+80&br;+120&br;+45&br;+35&br;+80&br;+40&br;+25&br;+60&br;&br;+13&br;+200&br;+200&br;+120&br;+12&br;+100&br;|砂漠に住むつぶらな瞳の顔と&br;鳥のような胴体を持つ動物&br;あんまり足は速くない&br;&br;【入手法】&br;サンドワーム(昼)、サンドワーム(夜)がドロップ。|

***弁天丸 [#bentenmaru]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/bentenmaru.jpg,nolink,128x128);|なし|HP:500&br;ATK:40&br;M.ATK:40&br;DEF:30&br;M.DEF:30&br;S.HIT:45&br;L.HIT:40&br;M.HIT:20&br;S.AVOID:30&br;L.AVOID:30&br;M.RST:30&br;CRITICAL:20&br;&br;C.AVOID:5&br;A.SPD:150&br;C.SPD:130&br;RCV:120&br;M.RCV:1&br;S.RCV:0|+1050&br;+180&br;+180&br;+115&br;+80&br;+130&br;+130&br;+100&br;+90&br;+90&br;+80&br;+65&br;&br;+15&br;+200&br;+200&br;&color(#a0a0a0){+?};&br;+12&br;&color(#a0a0a0){+?};|「劇場版モーレツ宇宙海賊」とのコラボレーション記念アイテム&br;&br;【入手法】&br;コラボイベント「ECO×モーレツ宇宙海賊」モーレツコラボ第3弾&br;(14/03/27～14/04/24)|

**ライドパートナー(ネットカフェ、課金アイテム) [#qdaacb6f]
***機関車タイニー [#vfcb7266]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/TinyKikansha.jpg,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:150};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|子ども用機関車&br;&br;【入手法】&br;ECO1周年記念パッケージ&br;「アニバ！BOX」同梱のアイテムチケットで入手(6300円[税込]) &br;&br;&color(#f00000){※07/10/12の上昇ステータス無し};|

***機関車ダンプティー [#x7800f81]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/KikanshaDampty.png,nolink,128x128);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:150};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|子ども用機関車&br;&br;【入手法】&br;イーフロストアのECO1周年記念パッケージ&br;「アニバ！BOX」同梱のアイテムチケットで入手(6300円[税込]) &br;&br;&color(#f00000){※07/10/12の上昇ステータス無し};|

***空飛ぶじゅうたん [#r3538db9]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/SoraTobuJuutan.jpg,nolink,128x120);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:150};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+540&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+84&br;+45&br;+28&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+120};&br;&color(#a0a0a0){+10};&br;&color(#a0a0a0){+100};|シナモンが運転する「空とぶじゅうたん」&br;(ドミニオン♀でも正座をする)&br;&br;&br;【入手法】&br;ECOくじ Ver.6|

***空飛ぶじゅうたん（桜） [#g1c956ec]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/SoraTobuJuutanSakura.jpg,nolink,128x122);|なし|HP:320&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:28&br;L.AVOID:15&br;M.RST:14&br;CRITICAL:21&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:150};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|&color(#a0a0a0){+540};&br;&color(#a0a0a0){+196};&br;&color(#a0a0a0){+129};&br;&color(#a0a0a0){+111};&br;&color(#a0a0a0){+54};&br;&color(#a0a0a0){+129};&br;&color(#a0a0a0){+48};&br;&color(#a0a0a0){+39};&br;&color(#a0a0a0){+84};&br;&color(#a0a0a0){+45};&br;&color(#a0a0a0){+28};&br;&color(#a0a0a0){+63};&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|ウィリー・ドゥが運転する桜色のじゅうたん。&br;&br;&br;&br;【入手法】&br;ECOくじ 春☆スペシャル|

***空飛ぶコウモリ傘 [#b73e7128]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/SoraTobuKoumoriGasa.jpg,nolink,128x120);|なし|HP:1&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:40&br;L.AVOID:40&br;M.RST:40&br;CRITICAL:30&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:150};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|+1&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+90&br;+90&br;+90&br;+63&br;&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+120};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|つかまってふわふわと飛べるコウモリ傘。&br;&br;&color(#ff8000){最大ごきげん度：100};&br;&br;&br;【入手法】&br;ECOくじ Ver.7&br;ECOくじ 初夏☆スペシャル&br;復刻・ECOくじ第7弾 雨のち晴れ&br;&br;ブースト点火時と等速&br;※旧仕様ではパパと等速だったが、&br;PC移動速度上昇に伴い相対的に移動速度が低下|

***空飛ぶコウモリ傘（ピンク） [#j51433d0]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_info/eco/pet/SoraTobuKoumoriGasaPink.jpg,nolink,128x147);|なし|HP:1&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:40&br;L.AVOID:40&br;M.RST:40&br;CRITICAL:30&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:150};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:－};&br;&color(#a0a0a0){S.RCV:－};|&color(#a0a0a0){+1};&br;&color(#a0a0a0){+196};&br;&color(#a0a0a0){+129};&br;&color(#a0a0a0){+111};&br;&color(#a0a0a0){+54};&br;&color(#a0a0a0){+129};&br;&color(#a0a0a0){+48};&br;&color(#a0a0a0){+39};&br;&color(#a0a0a0){+90};&br;&color(#a0a0a0){+90};&br;&color(#a0a0a0){+90};&br;&color(#a0a0a0){+63};&br;&br;&color(#a0a0a0){+49};&br;&color(#a0a0a0){+196};&br;&color(#a0a0a0){+200};&br;&color(#a0a0a0){+120};&br;&color(#a0a0a0){+0};&br;&color(#a0a0a0){+0};|【入手法】&br;ECOくじ アニバ☆スペシャル！|

***空飛ぶコウモリ傘（赤） [#v2e610b4]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
|&ref(http://eco.acronia.net/img/gamedb_wiki/PetList/Ride/SoraTobuKoumoriGasaAka.png,nolink,128x128);|なし|HP:1&br;ATK:49&br;M.ATK:43&br;DEF:37&br;M.DEF:18&br;S.HIT:43&br;L.HIT:24&br;M.HIT:13&br;S.AVOID:40&br;L.AVOID:40&br;M.RST:40&br;CRITICAL:30&br;&br;&color(#a0a0a0){C.AVOID:－};&br;&color(#a0a0a0){A.SPD:150};&br;&color(#a0a0a0){C.SPD:－};&br;&color(#a0a0a0){RCV:120};&br;&color(#a0a0a0){M.RCV:103};&br;&color(#a0a0a0){S.RCV:145};|+1&br;+196&br;+129&br;+111&br;+54&br;+129&br;+48&br;+39&br;+90&br;+90&br;+90&br;+63&br;&br;+50&br;+200&br;+200&br;+120&br;+12&br;+100|【入手法】&br;ＥＣＯ祭り2009で配布された|

***空飛ぶコウモリ傘（白） [#KasaSiro]
|CENTER:128|CENTER:70|RIGHT:85|RIGHT:40|LEFT:480|c
